Value,Percentile,TotalCount,1/(1-Percentile)
6003.000,0.000000,1,1.00
6571.000,0.100000,2005,1.11
6819.000,0.200000,4083,1.25
6883.000,0.300000,6101,1.43
6927.000,0.400000,8051,1.67
6971.000,0.500000,10195,2.00
6991.000,0.550000,11200,2.22
7011.000,0.600000,12157,2.50
7031.000,0.650000,13082,2.86
7055.000,0.700000,14098,3.33
7083.000,0.750000,15095,4.00
7099.000,0.775000,15619,4.44
7115.000,0.800000,16053,5.00
7135.000,0.825000,16563,5.71
7159.000,0.850000,17038,6.67
7191.000,0.875000,17520,8.00
7211.000,0.887500,17755,8.89
7239.000,0.900000,18032,10.00
7275.000,0.912500,18272,11.43
7319.000,0.925000,18507,13.33
7375.000,0.937500,18769,16.00
7403.000,0.943750,18875,17.78
7439.000,0.950000,19009,20.00
7475.000,0.956250,19129,22.86
7527.000,0.962500,19250,26.67
7591.000,0.968750,19382,32.00
7631.000,0.971875,19441,35.56
7695.000,0.975000,19502,40.00
7795.000,0.978125,19564,45.71
8143.000,0.981250,19625,53.33
8687.000,0.984375,19688,64.00
9079.000,0.985938,19719,71.11
9399.000,0.987500,19751,80.00
9743.000,0.989062,19783,91.43
10087.000,0.990625,19813,106.67
10343.000,0.992188,19844,128.00
10487.000,0.992969,19862,142.22
10615.000,0.993750,19875,160.00
10791.000,0.994531,19891,182.86
11215.000,0.995313,19908,213.33
14047.000,0.996094,19923,256.00
18031.000,0.996484,19930,284.44
21503.000,0.996875,19938,320.00
30303.000,0.997266,19946,365.71
176895.000,0.997656,19954,426.67
178431.000,0.998047,19961,512.00
203391.000,0.998242,19965,568.89
206335.000,0.998437,19969,640.00
209663.000,0.998633,19973,731.43
228479.000,0.998828,19977,853.33
230399.000,0.999023,19981,1024.00
246783.000,0.999121,19983,1137.78
249087.000,0.999219,19985,1280.00
249343.000,0.999316,19987,1462.86
249727.000,0.999414,19989,1706.67
251135.000,0.999512,19991,2048.00
417279.000,0.999561,19992,2275.56
417791.000,0.999609,19993,2560.00
418815.000,0.999658,19994,2925.71
419839.000,0.999707,19995,3413.33
420095.000,0.999756,19996,4096.00
420095.000,0.999780,19996,4551.11
420351.000,0.999805,19997,5120.00
420351.000,0.999829,19997,5851.43
421119.000,0.999854,19998,6826.67
421119.000,0.999878,19998,8192.00
421119.000,0.999890,19998,9102.22
421887.000,0.999902,19999,10240.00
421887.000,0.999915,19999,11702.86
421887.000,0.999927,19999,13653.33
421887.000,0.999939,19999,16384.00
421887.000,0.999945,19999,18204.44
549375.000,0.999951,20000,20480.00
549375.000,1.000000,20000,inf
