Value,Percentile,TotalCount,1/(1-Percentile)
62175.000,0.000000,1,1.00
64191.000,0.100000,2095,1.11
64575.000,0.200000,4098,1.25
64863.000,0.300000,6051,1.43
65343.000,0.400000,8011,1.67
66111.000,0.500000,10059,2.00
66431.000,0.550000,11092,2.22
66943.000,0.600000,12043,2.50
68287.000,0.650000,13026,2.86
69631.000,0.700000,14106,3.33
70143.000,0.750000,15056,4.00
70463.000,0.775000,15560,4.44
70847.000,0.800000,16049,5.00
71295.000,0.825000,16552,5.71
71807.000,0.850000,17042,6.67
72447.000,0.875000,17534,8.00
72831.000,0.887500,17757,8.89
73279.000,0.900000,18005,10.00
73791.000,0.912500,18257,11.43
74559.000,0.925000,18513,13.33
75519.000,0.937500,18757,16.00
76159.000,0.943750,18886,17.78
77055.000,0.950000,19005,20.00
77887.000,0.956250,19130,22.86
78975.000,0.962500,19250,26.67
80383.000,0.968750,19375,32.00
81343.000,0.971875,19439,35.56
82559.000,0.975000,19502,40.00
83903.000,0.978125,19563,45.71
85759.000,0.981250,19625,53.33
87679.000,0.984375,19691,64.00
88511.000,0.985938,19720,71.11
89663.000,0.987500,19750,80.00
90751.000,0.989062,19783,91.43
92159.000,0.990625,19814,106.67
93503.000,0.992188,19845,128.00
94399.000,0.992969,19860,142.22
95615.000,0.993750,19876,160.00
96191.000,0.994531,19892,182.86
97535.000,0.995313,19908,213.33
98751.000,0.996094,19922,256.00
100095.000,0.996484,19931,284.44
101439.000,0.996875,19938,320.00
103935.000,0.997266,19946,365.71
106559.000,0.997656,19954,426.67
110207.000,0.998047,19961,512.00
110911.000,0.998242,19965,568.89
112831.000,0.998437,19969,640.00
114687.000,0.998633,19973,731.43
120447.000,0.998828,19977,853.33
124415.000,0.999023,19981,1024.00
124991.000,0.999121,19983,1137.78
127807.000,0.999219,19985,1280.00
129151.000,0.999316,19987,1462.86
131455.000,0.999414,19989,1706.67
133631.000,0.999512,19991,2048.00
137855.000,0.999561,19992,2275.56
139391.000,0.999609,19993,2560.00
145535.000,0.999658,19994,2925.71
150655.000,0.999707,19995,3413.33
151935.000,0.999756,19996,4096.00
151935.000,0.999780,19996,4551.11
158847.000,0.999805,19997,5120.00
158847.000,0.999829,19997,5851.43
171647.000,0.999854,19998,6826.67
171647.000,0.999878,19998,8192.00
171647.000,0.999890,19998,9102.22
174079.000,0.999902,19999,10240.00
174079.000,0.999915,19999,11702.86
174079.000,0.999927,19999,13653.33
174079.000,0.999939,19999,16384.00
174079.000,0.999945,19999,18204.44
180863.000,0.999951,20000,20480.00
180863.000,1.000000,20000,inf
