Value,Percentile,TotalCount,1/(1-Percentile)
19455.000,0.000000,1,1.00
24751.000,0.100000,2091,1.11
24895.000,0.200000,4015,1.25
25007.000,0.300000,6074,1.43
25119.000,0.400000,8348,1.67
25199.000,0.500000,10019,2.00
25247.000,0.550000,11053,2.22
25295.000,0.600000,12022,2.50
25359.000,0.650000,13254,2.86
25407.000,0.700000,14120,3.33
25471.000,0.750000,15100,4.00
25503.000,0.775000,15538,4.44
25551.000,0.800000,16174,5.00
25583.000,0.825000,16545,5.71
25631.000,0.850000,17006,6.67
25695.000,0.875000,17519,8.00
25743.000,0.887500,17835,8.89
25775.000,0.900000,18023,10.00
25823.000,0.912500,18265,11.43
25903.000,0.925000,18536,13.33
25999.000,0.937500,18766,16.00
26063.000,0.943750,18878,17.78
26175.000,0.950000,19007,20.00
26335.000,0.956250,19127,22.86
26975.000,0.962500,19252,26.67
27807.000,0.968750,19379,32.00
27967.000,0.971875,19441,35.56
28191.000,0.975000,19503,40.00
28447.000,0.978125,19569,45.71
28751.000,0.981250,19625,53.33
29167.000,0.984375,19688,64.00
29439.000,0.985938,19719,71.11
30175.000,0.987500,19750,80.00
32703.000,0.989062,19782,91.43
51839.000,0.990625,19813,106.67
53311.000,0.992188,19845,128.00
53631.000,0.992969,19861,142.22
54495.000,0.993750,19875,160.00
55615.000,0.994531,19891,182.86
57919.000,0.995313,19907,213.33
67903.000,0.996094,19922,256.00
71103.000,0.996484,19930,284.44
79999.000,0.996875,19938,320.00
91135.000,0.997266,19946,365.71
93247.000,0.997656,19955,426.67
96767.000,0.998047,19961,512.00
99327.000,0.998242,19965,568.89
103743.000,0.998437,19969,640.00
110527.000,0.998633,19973,731.43
118719.000,0.998828,19977,853.33
127487.000,0.999023,19981,1024.00
138239.000,0.999121,19983,1137.78
154495.000,0.999219,19985,1280.00
176127.000,0.999316,19987,1462.86
254207.000,0.999414,19989,1706.67
261119.000,0.999512,19991,2048.00
263935.000,0.999561,19992,2275.56
293887.000,0.999609,19993,2560.00
310527.000,0.999658,19994,2925.71
337663.000,0.999707,19995,3413.33
346879.000,0.999756,19996,4096.00
346879.000,0.999780,19996,4551.11
446207.000,0.999805,19997,5120.00
446207.000,0.999829,19997,5851.43
658431.000,0.999854,19998,6826.67
658431.000,0.999878,19998,8192.00
658431.000,0.999890,19998,9102.22
884735.000,0.999902,19999,10240.00
884735.000,0.999915,19999,11702.86
884735.000,0.999927,19999,13653.33
884735.000,0.999939,19999,16384.00
884735.000,0.999945,19999,18204.44
1509375.000,0.999951,20000,20480.00
1509375.000,1.000000,20000,inf
