Value,Percentile,TotalCount,1/(1-Percentile)
13287.000,0.000000,1,1.00
14151.000,0.100000,2075,1.11
14263.000,0.200000,4012,1.25
14359.000,0.300000,6105,1.43
14439.000,0.400000,8079,1.67
14511.000,0.500000,10009,2.00
14559.000,0.550000,11181,2.22
14599.000,0.600000,12149,2.50
14639.000,0.650000,13139,2.86
14679.000,0.700000,14004,3.33
14735.000,0.750000,15094,4.00
14759.000,0.775000,15534,4.44
14791.000,0.800000,16113,5.00
14823.000,0.825000,16562,5.71
14855.000,0.850000,17021,6.67
14903.000,0.875000,17572,8.00
14927.000,0.887500,17801,8.89
14951.000,0.900000,18035,10.00
14983.000,0.912500,18312,11.43
15015.000,0.925000,18508,13.33
15063.000,0.937500,18775,16.00
15087.000,0.943750,18889,17.78
15119.000,0.950000,19015,20.00
15159.000,0.956250,19130,22.86
15207.000,0.962500,19266,26.67
15271.000,0.968750,19377,32.00
15335.000,0.971875,19442,35.56
15407.000,0.975000,19504,40.00
15575.000,0.978125,19564,45.71
16119.000,0.981250,19625,53.33
16543.000,0.984375,19688,64.00
16655.000,0.985938,19721,71.11
16783.000,0.987500,19755,80.00
16911.000,0.989062,19788,91.43
17039.000,0.990625,19815,106.67
17215.000,0.992188,19848,128.00
17295.000,0.992969,19861,142.22
17519.000,0.993750,19875,160.00
17999.000,0.994531,19891,182.86
31023.000,0.995313,19907,213.33
32431.000,0.996094,19925,256.00
32639.000,0.996484,19930,284.44
33119.000,0.996875,19938,320.00
33407.000,0.997266,19946,365.71
34271.000,0.997656,19955,426.67
34591.000,0.998047,19961,512.00
35007.000,0.998242,19965,568.89
35487.000,0.998437,19969,640.00
36351.000,0.998633,19973,731.43
53375.000,0.998828,19977,853.33
66303.000,0.999023,19981,1024.00
68287.000,0.999121,19983,1137.78
70719.000,0.999219,19985,1280.00
71423.000,0.999316,19987,1462.86
71679.000,0.999414,19989,1706.67
71935.000,0.999512,19992,2048.00
71935.000,0.999561,19992,2275.56
71999.000,0.999609,19993,2560.00
72127.000,0.999658,19994,2925.71
72511.000,0.999707,19995,3413.33
72767.000,0.999756,19996,4096.00
72767.000,0.999780,19996,4551.11
73535.000,0.999805,19997,5120.00
73535.000,0.999829,19997,5851.43
73727.000,0.999854,19998,6826.67
73727.000,0.999878,19998,8192.00
73727.000,0.999890,19998,9102.22
85183.000,0.999902,19999,10240.00
85183.000,0.999915,19999,11702.86
85183.000,0.999927,19999,13653.33
85183.000,0.999939,19999,16384.00
85183.000,0.999945,19999,18204.44
790527.000,0.999951,20000,20480.00
790527.000,1.000000,20000,inf
