Value,Percentile,TotalCount,1/(1-Percentile)
25471.000,0.000000,1,1.00
26575.000,0.100000,2160,1.11
26735.000,0.200000,4075,1.25
26863.000,0.300000,6228,1.43
26959.000,0.400000,8008,1.67
27071.000,0.500000,10230,2.00
27119.000,0.550000,11170,2.22
27167.000,0.600000,12035,2.50
27231.000,0.650000,13195,2.86
27279.000,0.700000,14026,3.33
27359.000,0.750000,15140,4.00
27391.000,0.775000,15530,4.44
27439.000,0.800000,16115,5.00
27487.000,0.825000,16641,5.71
27535.000,0.850000,17080,6.67
27599.000,0.875000,17558,8.00
27631.000,0.887500,17752,8.89
27679.000,0.900000,18020,10.00
27727.000,0.912500,18260,11.43
27791.000,0.925000,18511,13.33
27887.000,0.937500,18772,16.00
27951.000,0.943750,18893,17.78
28031.000,0.950000,19012,20.00
28143.000,0.956250,19131,22.86
28543.000,0.962500,19250,26.67
29487.000,0.968750,19377,32.00
29679.000,0.971875,19438,35.56
29839.000,0.975000,19502,40.00
29951.000,0.978125,19565,45.71
30127.000,0.981250,19626,53.33
30335.000,0.984375,19691,64.00
30479.000,0.985938,19721,71.11
30607.000,0.987500,19750,80.00
30879.000,0.989062,19782,91.43
31567.000,0.990625,19813,106.67
49599.000,0.992188,19845,128.00
49951.000,0.992969,19860,142.22
50303.000,0.993750,19876,160.00
50623.000,0.994531,19891,182.86
51007.000,0.995313,19907,213.33
51519.000,0.996094,19923,256.00
51871.000,0.996484,19931,284.44
52159.000,0.996875,19939,320.00
52703.000,0.997266,19946,365.71
53471.000,0.997656,19954,426.67
55967.000,0.998047,19961,512.00
82111.000,0.998242,19965,568.89
86847.000,0.998437,19969,640.00
87231.000,0.998633,19973,731.43
87423.000,0.998828,19978,853.33
87551.000,0.999023,19981,1024.00
87679.000,0.999121,19984,1137.78
87743.000,0.999219,19985,1280.00
87935.000,0.999316,19988,1462.86
88063.000,0.999414,19990,1706.67
88127.000,0.999512,19991,2048.00
88191.000,0.999561,19992,2275.56
88319.000,0.999609,19993,2560.00
88511.000,0.999658,19995,2925.71
88511.000,0.999707,19995,3413.33
88959.000,0.999756,19996,4096.00
88959.000,0.999780,19996,4551.11
89599.000,0.999805,19997,5120.00
89599.000,0.999829,19997,5851.43
90047.000,0.999854,19998,6826.67
90047.000,0.999878,19998,8192.00
90047.000,0.999890,19998,9102.22
92351.000,0.999902,19999,10240.00
92351.000,0.999915,19999,11702.86
92351.000,0.999927,19999,13653.33
92351.000,0.999939,19999,16384.00
92351.000,0.999945,19999,18204.44
102847.000,0.999951,20000,20480.00
102847.000,1.000000,20000,inf
