Value,Percentile,TotalCount,1/(1-Percentile)
13807.000,0.000000,1,1.00
17103.000,0.100000,2041,1.11
17487.000,0.200000,4028,1.25
19103.000,0.300000,6007,1.43
20399.000,0.400000,8010,1.67
21647.000,0.500000,10013,2.00
41183.000,0.550000,11002,2.22
41791.000,0.600000,12009,2.50
42047.000,0.650000,13034,2.86
42271.000,0.700000,14121,3.33
42495.000,0.750000,15041,4.00
42655.000,0.775000,15548,4.44
42879.000,0.800000,16052,5.00
43423.000,0.825000,16510,5.71
44863.000,0.850000,17005,6.67
45919.000,0.875000,17518,8.00
46207.000,0.887500,17758,8.89
46495.000,0.900000,18000,10.00
46783.000,0.912500,18256,11.43
47103.000,0.925000,18506,13.33
47551.000,0.937500,18756,16.00
47807.000,0.943750,18876,17.78
48191.000,0.950000,19000,20.00
48639.000,0.956250,19127,22.86
49279.000,0.962500,19252,26.67
49855.000,0.968750,19378,32.00
50207.000,0.971875,19439,35.56
50527.000,0.975000,19506,40.00
50943.000,0.978125,19566,45.71
51327.000,0.981250,19629,53.33
51807.000,0.984375,19689,64.00
52063.000,0.985938,19729,71.11
52255.000,0.987500,19751,80.00
52607.000,0.989062,19785,91.43
52959.000,0.990625,19814,106.67
53343.000,0.992188,19844,128.00
53567.000,0.992969,19860,142.22
53855.000,0.993750,19875,160.00
54303.000,0.994531,19892,182.86
54655.000,0.995313,19907,213.33
55583.000,0.996094,19922,256.00
55871.000,0.996484,19930,284.44
56095.000,0.996875,19938,320.00
56511.000,0.997266,19946,365.71
56863.000,0.997656,19954,426.67
57183.000,0.998047,19962,512.00
57311.000,0.998242,19965,568.89
57503.000,0.998437,19970,640.00
57663.000,0.998633,19973,731.43
57951.000,0.998828,19977,853.33
58239.000,0.999023,19981,1024.00
58271.000,0.999121,19983,1137.78
58623.000,0.999219,19985,1280.00
58879.000,0.999316,19987,1462.86
59103.000,0.999414,19989,1706.67
59263.000,0.999512,19991,2048.00
59391.000,0.999561,19992,2275.56
59647.000,0.999609,19993,2560.00
60255.000,0.999658,19994,2925.71
60319.000,0.999707,19995,3413.33
60351.000,0.999756,19996,4096.00
60351.000,0.999780,19996,4551.11
61567.000,0.999805,19997,5120.00
61567.000,0.999829,19997,5851.43
63999.000,0.999854,19998,6826.67
63999.000,0.999878,19998,8192.00
63999.000,0.999890,19998,9102.22
90431.000,0.999902,19999,10240.00
90431.000,0.999915,19999,11702.86
90431.000,0.999927,19999,13653.33
90431.000,0.999939,19999,16384.00
90431.000,0.999945,19999,18204.44
138879.000,0.999951,20000,20480.00
138879.000,1.000000,20000,inf
