Value,Percentile,TotalCount,1/(1-Percentile)
14599.000,0.000000,1,1.00
15623.000,0.100000,2020,1.11
16071.000,0.200000,4016,1.25
16399.000,0.300000,6071,1.43
16591.000,0.400000,8125,1.67
16751.000,0.500000,10114,2.00
16831.000,0.550000,11063,2.22
16927.000,0.600000,12135,2.50
17023.000,0.650000,13112,2.86
17135.000,0.700000,14110,3.33
17247.000,0.750000,15059,4.00
17311.000,0.775000,15508,4.44
17391.000,0.800000,16053,5.00
17487.000,0.825000,16550,5.71
17615.000,0.850000,17045,6.67
17791.000,0.875000,17529,8.00
17919.000,0.887500,17750,8.89
18143.000,0.900000,18003,10.00
18479.000,0.912500,18255,11.43
18943.000,0.925000,18508,13.33
19423.000,0.937500,18750,16.00
19759.000,0.943750,18879,17.78
20255.000,0.950000,19001,20.00
20991.000,0.956250,19127,22.86
22143.000,0.962500,19250,26.67
23919.000,0.968750,19375,32.00
24831.000,0.971875,19438,35.56
25807.000,0.975000,19500,40.00
26207.000,0.978125,19566,45.71
26527.000,0.981250,19631,53.33
26831.000,0.984375,19690,64.00
26991.000,0.985938,19721,71.11
27119.000,0.987500,19754,80.00
27311.000,0.989062,19782,91.43
27583.000,0.990625,19816,106.67
27727.000,0.992188,19847,128.00
27839.000,0.992969,19862,142.22
27951.000,0.993750,19875,160.00
28111.000,0.994531,19891,182.86
28367.000,0.995313,19908,213.33
28495.000,0.996094,19922,256.00
28639.000,0.996484,19930,284.44
28783.000,0.996875,19938,320.00
29039.000,0.997266,19949,365.71
29167.000,0.997656,19955,426.67
29391.000,0.998047,19961,512.00
29519.000,0.998242,19966,568.89
29647.000,0.998437,19969,640.00
29791.000,0.998633,19973,731.43
29935.000,0.998828,19977,853.33
30447.000,0.999023,19981,1024.00
30479.000,0.999121,19983,1137.78
30575.000,0.999219,19985,1280.00
30943.000,0.999316,19987,1462.86
31023.000,0.999414,19991,1706.67
31023.000,0.999512,19991,2048.00
31471.000,0.999561,19992,2275.56
31583.000,0.999609,19993,2560.00
31711.000,0.999658,19994,2925.71
32271.000,0.999707,19995,3413.33
32831.000,0.999756,19996,4096.00
32831.000,0.999780,19996,4551.11
33407.000,0.999805,19997,5120.00
33407.000,0.999829,19997,5851.43
33663.000,0.999854,19998,6826.67
33663.000,0.999878,19998,8192.00
33663.000,0.999890,19998,9102.22
34143.000,0.999902,19999,10240.00
34143.000,0.999915,19999,11702.86
34143.000,0.999927,19999,13653.33
34143.000,0.999939,19999,16384.00
34143.000,0.999945,19999,18204.44
34431.000,0.999951,20000,20480.00
34431.000,1.000000,20000,inf
