Value,Percentile,TotalCount,1/(1-Percentile)
6815.000,0.000000,1,1.00
7755.000,0.100000,2001,1.11
8751.000,0.200000,4133,1.25
8815.000,0.300000,6240,1.43
8863.000,0.400000,8318,1.67
8903.000,0.500000,10273,2.00
8919.000,0.550000,11049,2.22
8943.000,0.600000,12211,2.50
8967.000,0.650000,13281,2.86
8991.000,0.700000,14267,3.33
9015.000,0.750000,15165,4.00
9031.000,0.775000,15686,4.44
9047.000,0.800000,16128,5.00
9063.000,0.825000,16577,5.71
9087.000,0.850000,17135,6.67
9111.000,0.875000,17585,8.00
9127.000,0.887500,17821,8.89
9143.000,0.900000,18040,10.00
9159.000,0.912500,18254,11.43
9191.000,0.925000,18531,13.33
9223.000,0.937500,18765,16.00
9247.000,0.943750,18895,17.78
9279.000,0.950000,19014,20.00
9327.000,0.956250,19135,22.86
9399.000,0.962500,19251,26.67
9559.000,0.968750,19377,32.00
9655.000,0.971875,19442,35.56
9783.000,0.975000,19501,40.00
9975.000,0.978125,19563,45.71
10439.000,0.981250,19626,53.33
11327.000,0.984375,19688,64.00
11647.000,0.985938,19719,71.11
11911.000,0.987500,19750,80.00
12191.000,0.989062,19782,91.43
12439.000,0.990625,19813,106.67
12919.000,0.992188,19844,128.00
13303.000,0.992969,19861,142.22
13423.000,0.993750,19875,160.00
13695.000,0.994531,19891,182.86
15095.000,0.995313,19907,213.33
27567.000,0.996094,19922,256.00
28975.000,0.996484,19930,284.44
29503.000,0.996875,19938,320.00
33759.000,0.997266,19946,365.71
35807.000,0.997656,19954,426.67
37919.000,0.998047,19961,512.00
41983.000,0.998242,19965,568.89
43103.000,0.998437,19969,640.00
44063.000,0.998633,19973,731.43
45631.000,0.998828,19977,853.33
46303.000,0.999023,19981,1024.00
48351.000,0.999121,19983,1137.78
51231.000,0.999219,19985,1280.00
57087.000,0.999316,19987,1462.86
58047.000,0.999414,19989,1706.67
71679.000,0.999512,19991,2048.00
73279.000,0.999561,19992,2275.56
74879.000,0.999609,19993,2560.00
75775.000,0.999658,19994,2925.71
79103.000,0.999707,19995,3413.33
79167.000,0.999756,19996,4096.00
79167.000,0.999780,19996,4551.11
79295.000,0.999805,19997,5120.00
79295.000,0.999829,19997,5851.43
83263.000,0.999854,19998,6826.67
83263.000,0.999878,19998,8192.00
83263.000,0.999890,19998,9102.22
85247.000,0.999902,19999,10240.00
85247.000,0.999915,19999,11702.86
85247.000,0.999927,19999,13653.33
85247.000,0.999939,19999,16384.00
85247.000,0.999945,19999,18204.44
93375.000,0.999951,20000,20480.00
93375.000,1.000000,20000,inf
