Value,Percentile,TotalCount,1/(1-Percentile)
5979.000,0.000000,1,1.00
6207.000,0.100000,203,1.11
6259.000,0.200000,402,1.25
6395.000,0.300000,602,1.43
6579.000,0.400000,800,1.67
6727.000,0.500000,1000,2.00
6895.000,0.550000,1100,2.22
7079.000,0.600000,1204,2.50
7215.000,0.650000,1301,2.86
7335.000,0.700000,1402,3.33
7443.000,0.750000,1500,4.00
7511.000,0.775000,1554,4.44
7567.000,0.800000,1604,5.00
7647.000,0.825000,1651,5.71
7755.000,0.850000,1700,6.67
7871.000,0.875000,1750,8.00
7959.000,0.887500,1776,8.89
8131.000,0.900000,1801,10.00
8247.000,0.912500,1827,11.43
8351.000,0.925000,1851,13.33
8471.000,0.937500,1875,16.00
8535.000,0.943750,1892,17.78
8567.000,0.950000,1900,20.00
8615.000,0.956250,1914,22.86
8679.000,0.962500,1925,26.67
8783.000,0.968750,1938,32.00
8855.000,0.971875,1944,35.56
8895.000,0.975000,1950,40.00
9023.000,0.978125,1957,45.71
9167.000,0.981250,1963,53.33
9879.000,0.984375,1969,64.00
10671.000,0.985938,1972,71.11
10799.000,0.987500,1976,80.00
10887.000,0.989062,1979,91.43
11183.000,0.990625,1982,106.67
11863.000,0.992188,1985,128.00
12087.000,0.992969,1986,142.22
12407.000,0.993750,1988,160.00
12615.000,0.994531,1990,182.86
12879.000,0.995313,1991,213.33
14271.000,0.996094,1993,256.00
14271.000,0.996484,1993,284.44
15063.000,0.996875,1994,320.00
26991.000,0.997266,1995,365.71
30847.000,0.997656,1996,426.67
45759.000,0.998047,1997,512.00
45759.000,0.998242,1997,568.89
45759.000,0.998437,1997,640.00
52447.000,0.998633,1998,731.43
52447.000,0.998828,1998,853.33
57055.000,0.999023,1999,1024.00
57055.000,0.999121,1999,1137.78
57055.000,0.999219,1999,1280.00
57055.000,0.999316,1999,1462.86
57055.000,0.999414,1999,1706.67
90175.000,0.999512,2000,2048.00
90175.000,1.000000,2000,inf
