Value,Percentile,TotalCount,1/(1-Percentile)
6643.000,0.000000,1,1.00
7027.000,0.100000,201,1.11
7211.000,0.200000,405,1.25
7699.000,0.300000,600,1.43
7995.000,0.400000,805,1.67
8143.000,0.500000,1006,2.00
8215.000,0.550000,1105,2.22
8271.000,0.600000,1203,2.50
8335.000,0.650000,1305,2.86
8399.000,0.700000,1405,3.33
8471.000,0.750000,1517,4.00
8503.000,0.775000,1554,4.44
8551.000,0.800000,1600,5.00
8591.000,0.825000,1652,5.71
8639.000,0.850000,1703,6.67
8695.000,0.875000,1760,8.00
8719.000,0.887500,1775,8.89
8767.000,0.900000,1803,10.00
8791.000,0.912500,1825,11.43
8831.000,0.925000,1853,13.33
8879.000,0.937500,1877,16.00
8911.000,0.943750,1893,17.78
8943.000,0.950000,1900,20.00
9015.000,0.956250,1913,22.86
9095.000,0.962500,1925,26.67
9207.000,0.968750,1938,32.00
9279.000,0.971875,1944,35.56
9351.000,0.975000,1950,40.00
9711.000,0.978125,1957,45.71
10175.000,0.981250,1963,53.33
10879.000,0.984375,1969,64.00
10951.000,0.985938,1972,71.11
11191.000,0.987500,1975,80.00
12255.000,0.989062,1979,91.43
12527.000,0.990625,1982,106.67
12799.000,0.992188,1985,128.00
12823.000,0.992969,1986,142.22
13207.000,0.993750,1988,160.00
13391.000,0.994531,1990,182.86
13575.000,0.995313,1991,213.33
14271.000,0.996094,1993,256.00
14271.000,0.996484,1993,284.44
14911.000,0.996875,1994,320.00
14999.000,0.997266,1995,365.71
15079.000,0.997656,1996,426.67
16207.000,0.998047,1997,512.00
16207.000,0.998242,1997,568.89
16207.000,0.998437,1997,640.00
64351.000,0.998633,1998,731.43
64351.000,0.998828,1998,853.33
72895.000,0.999023,1999,1024.00
72895.000,0.999121,1999,1137.78
72895.000,0.999219,1999,1280.00
72895.000,0.999316,1999,1462.86
72895.000,0.999414,1999,1706.67
104767.000,0.999512,2000,2048.00
104767.000,1.000000,2000,inf
