Value,Percentile,TotalCount,1/(1-Percentile)
6667.000,0.000000,1,1.00
6999.000,0.100000,2039,1.11
7455.000,0.200000,4000,1.25
8607.000,0.300000,6027,1.43
8727.000,0.400000,8045,1.67
8799.000,0.500000,10190,2.00
8831.000,0.550000,11272,2.22
8855.000,0.600000,12184,2.50
8879.000,0.650000,13045,2.86
8911.000,0.700000,14141,3.33
8943.000,0.750000,15166,4.00
8959.000,0.775000,15613,4.44
8975.000,0.800000,16035,5.00
8999.000,0.825000,16590,5.71
9023.000,0.850000,17114,6.67
9047.000,0.875000,17526,8.00
9063.000,0.887500,17757,8.89
9087.000,0.900000,18026,10.00
9111.000,0.912500,18268,11.43
9143.000,0.925000,18541,13.33
9183.000,0.937500,18772,16.00
9207.000,0.943750,18886,17.78
9231.000,0.950000,19003,20.00
9271.000,0.956250,19133,22.86
9327.000,0.962500,19255,26.67
9423.000,0.968750,19379,32.00
9487.000,0.971875,19441,35.56
9599.000,0.975000,19501,40.00
9807.000,0.978125,19563,45.71
10159.000,0.981250,19627,53.33
11071.000,0.984375,19688,64.00
11479.000,0.985938,19719,71.11
11815.000,0.987500,19750,80.00
12087.000,0.989062,19782,91.43
12647.000,0.990625,19814,106.67
13311.000,0.992188,19845,128.00
13511.000,0.992969,19860,142.22
14599.000,0.993750,19875,160.00
15447.000,0.994531,19891,182.86
17791.000,0.995313,19907,213.33
27263.000,0.996094,19922,256.00
28383.000,0.996484,19930,284.44
30351.000,0.996875,19938,320.00
31215.000,0.997266,19947,365.71
33183.000,0.997656,19954,426.67
37535.000,0.998047,19961,512.00
38623.000,0.998242,19965,568.89
46111.000,0.998437,19969,640.00
70335.000,0.998633,19973,731.43
71871.000,0.998828,19977,853.33
87231.000,0.999023,19981,1024.00
99455.000,0.999121,19983,1137.78
104383.000,0.999219,19985,1280.00
128831.000,0.999316,19987,1462.86
134527.000,0.999414,19989,1706.67
157695.000,0.999512,19991,2048.00
159359.000,0.999561,19992,2275.56
172927.000,0.999609,19993,2560.00
178047.000,0.999658,19994,2925.71
194815.000,0.999707,19995,3413.33
285951.000,0.999756,19996,4096.00
285951.000,0.999780,19996,4551.11
316927.000,0.999805,19997,5120.00
316927.000,0.999829,19997,5851.43
336639.000,0.999854,19998,6826.67
336639.000,0.999878,19998,8192.00
336639.000,0.999890,19998,9102.22
404735.000,0.999902,19999,10240.00
404735.000,0.999915,19999,11702.86
404735.000,0.999927,19999,13653.33
404735.000,0.999939,19999,16384.00
404735.000,0.999945,19999,18204.44
709119.000,0.999951,20000,20480.00
709119.000,1.000000,20000,inf
