Value,Percentile,TotalCount,1/(1-Percentile)
8383.000,0.000000,1,1.00
8735.000,0.100000,2034,1.11
8807.000,0.200000,4289,1.25
8855.000,0.300000,6276,1.43
8895.000,0.400000,8110,1.67
8935.000,0.500000,10037,2.00
8959.000,0.550000,11181,2.22
8983.000,0.600000,12279,2.50
8999.000,0.650000,13007,2.86
9031.000,0.700000,14250,3.33
9055.000,0.750000,15110,4.00
9071.000,0.775000,15584,4.44
9087.000,0.800000,16079,5.00
9111.000,0.825000,16696,5.71
9127.000,0.850000,17083,6.67
9151.000,0.875000,17527,8.00
9167.000,0.887500,17812,8.89
9183.000,0.900000,18035,10.00
9199.000,0.912500,18258,11.43
9231.000,0.925000,18560,13.33
9255.000,0.937500,18751,16.00
9279.000,0.943750,18884,17.78
9303.000,0.950000,19003,20.00
9343.000,0.956250,19144,22.86
9399.000,0.962500,19259,26.67
9495.000,0.968750,19379,32.00
9591.000,0.971875,19444,35.56
9711.000,0.975000,19500,40.00
9887.000,0.978125,19563,45.71
10711.000,0.981250,19625,53.33
11439.000,0.984375,19688,64.00
11687.000,0.985938,19720,71.11
11863.000,0.987500,19751,80.00
12015.000,0.989062,19782,91.43
12279.000,0.990625,19814,106.67
12719.000,0.992188,19844,128.00
13039.000,0.992969,19860,142.22
13191.000,0.993750,19875,160.00
13527.000,0.994531,19891,182.86
14447.000,0.995313,19907,213.33
16943.000,0.996094,19922,256.00
20703.000,0.996484,19930,284.44
30879.000,0.996875,19938,320.00
31487.000,0.997266,19946,365.71
32543.000,0.997656,19954,426.67
33503.000,0.998047,19961,512.00
38719.000,0.998242,19965,568.89
45631.000,0.998437,19969,640.00
59551.000,0.998633,19973,731.43
76543.000,0.998828,19977,853.33
86719.000,0.999023,19981,1024.00
89151.000,0.999121,19983,1137.78
89727.000,0.999219,19985,1280.00
100863.000,0.999316,19987,1462.86
105471.000,0.999414,19989,1706.67
166911.000,0.999512,19991,2048.00
191999.000,0.999561,19992,2275.56
264447.000,0.999609,19993,2560.00
449791.000,0.999658,19994,2925.71
646143.000,0.999707,19995,3413.33
1025023.000,0.999756,19996,4096.00
1025023.000,0.999780,19996,4551.11
1885183.000,0.999805,19997,5120.00
1885183.000,0.999829,19997,5851.43
2226175.000,0.999854,19998,6826.67
2226175.000,0.999878,19998,8192.00
2226175.000,0.999890,19998,9102.22
3133439.000,0.999902,19999,10240.00
3133439.000,0.999915,19999,11702.86
3133439.000,0.999927,19999,13653.33
3133439.000,0.999939,19999,16384.00
3133439.000,0.999945,19999,18204.44
4028415.000,0.999951,20000,20480.00
4028415.000,1.000000,20000,inf
