Value,Percentile,TotalCount,1/(1-Percentile)
252287.000,0.000000,1,1.00
271103.000,0.100000,2097,1.11
274687.000,0.200000,4022,1.25
277503.000,0.300000,6003,1.43
280063.000,0.400000,8109,1.67
282111.000,0.500000,10005,2.00
283391.000,0.550000,11167,2.22
284415.000,0.600000,12108,2.50
285439.000,0.650000,13018,2.86
286719.000,0.700000,14112,3.33
287999.000,0.750000,15140,4.00
288511.000,0.775000,15510,4.44
289279.000,0.800000,16102,5.00
290047.000,0.825000,16572,5.71
291071.000,0.850000,17118,6.67
291839.000,0.875000,17500,8.00
292607.000,0.887500,17812,8.89
293375.000,0.900000,18053,10.00
294143.000,0.912500,18271,11.43
295167.000,0.925000,18513,13.33
296447.000,0.937500,18766,16.00
297215.000,0.943750,18892,17.78
297983.000,0.950000,19009,20.00
299007.000,0.956250,19133,22.86
300287.000,0.962500,19272,26.67
301823.000,0.968750,19382,32.00
302591.000,0.971875,19439,35.56
303615.000,0.975000,19504,40.00
304895.000,0.978125,19575,45.71
306175.000,0.981250,19634,53.33
307711.000,0.984375,19694,64.00
308735.000,0.985938,19724,71.11
310015.000,0.987500,19751,80.00
311295.000,0.989062,19784,91.43
312319.000,0.990625,19813,106.67
313343.000,0.992188,19844,128.00
314367.000,0.992969,19861,142.22
315903.000,0.993750,19875,160.00
317439.000,0.994531,19893,182.86
318463.000,0.995313,19907,213.33
319999.000,0.996094,19924,256.00
321023.000,0.996484,19931,284.44
321535.000,0.996875,19939,320.00
323071.000,0.997266,19950,365.71
323839.000,0.997656,19954,426.67
325375.000,0.998047,19962,512.00
326143.000,0.998242,19965,568.89
326655.000,0.998437,19970,640.00
327423.000,0.998633,19973,731.43
328703.000,0.998828,19977,853.33
330751.000,0.999023,19982,1024.00
332031.000,0.999121,19983,1137.78
332799.000,0.999219,19985,1280.00
336383.000,0.999316,19987,1462.86
343039.000,0.999414,19989,1706.67
344575.000,0.999512,19991,2048.00
344831.000,0.999561,19992,2275.56
347647.000,0.999609,19993,2560.00
352255.000,0.999658,19994,2925.71
362495.000,0.999707,19995,3413.33
365311.000,0.999756,19996,4096.00
365311.000,0.999780,19996,4551.11
382975.000,0.999805,19997,5120.00
382975.000,0.999829,19997,5851.43
387839.000,0.999854,19998,6826.67
387839.000,0.999878,19998,8192.00
387839.000,0.999890,19998,9102.22
438783.000,0.999902,19999,10240.00
438783.000,0.999915,19999,11702.86
438783.000,0.999927,19999,13653.33
438783.000,0.999939,19999,16384.00
438783.000,0.999945,19999,18204.44
499455.000,0.999951,20000,20480.00
499455.000,1.000000,20000,inf
