Value,Percentile,TotalCount,1/(1-Percentile)
20127.000,0.000000,1,1.00
20735.000,0.100000,2195,1.11
20879.000,0.200000,4223,1.25
21039.000,0.300000,6090,1.43
21407.000,0.400000,8013,1.67
21983.000,0.500000,10107,2.00
22079.000,0.550000,11161,2.22
22159.000,0.600000,12228,2.50
22223.000,0.650000,13118,2.86
22303.000,0.700000,14236,3.33
22367.000,0.750000,15040,4.00
22415.000,0.775000,15555,4.44
22463.000,0.800000,16049,5.00
22511.000,0.825000,16546,5.71
22575.000,0.850000,17115,6.67
22639.000,0.875000,17617,8.00
22671.000,0.887500,17841,8.89
22703.000,0.900000,18013,10.00
22751.000,0.912500,18259,11.43
22815.000,0.925000,18549,13.33
22895.000,0.937500,18783,16.00
22943.000,0.943750,18909,17.78
23023.000,0.950000,19007,20.00
23167.000,0.956250,19127,22.86
23391.000,0.962500,19250,26.67
23887.000,0.968750,19377,32.00
24399.000,0.971875,19438,35.56
25279.000,0.975000,19500,40.00
26095.000,0.978125,19564,45.71
28159.000,0.981250,19625,53.33
31967.000,0.984375,19688,64.00
33151.000,0.985938,19719,71.11
34207.000,0.987500,19751,80.00
35007.000,0.989062,19782,91.43
35871.000,0.990625,19813,106.67
43807.000,0.992188,19844,128.00
46655.000,0.992969,19860,142.22
197887.000,0.993750,19875,160.00
201343.000,0.994531,19891,182.86
216831.000,0.995313,19907,213.33
244351.000,0.996094,19922,256.00
245375.000,0.996484,19930,284.44
263167.000,0.996875,19938,320.00
308223.000,0.997266,19946,365.71
353023.000,0.997656,19955,426.67
368895.000,0.998047,19961,512.00
376831.000,0.998242,19965,568.89
384255.000,0.998437,19969,640.00
389375.000,0.998633,19973,731.43
433407.000,0.998828,19977,853.33
438015.000,0.999023,19981,1024.00
439295.000,0.999121,19983,1137.78
441087.000,0.999219,19985,1280.00
443391.000,0.999316,19987,1462.86
450815.000,0.999414,19989,1706.67
456191.000,0.999512,19991,2048.00
456703.000,0.999561,19992,2275.56
460287.000,0.999609,19993,2560.00
462591.000,0.999658,19994,2925.71
464127.000,0.999707,19995,3413.33
465919.000,0.999756,19996,4096.00
465919.000,0.999780,19996,4551.11
467711.000,0.999805,19997,5120.00
467711.000,0.999829,19997,5851.43
467967.000,0.999854,19998,6826.67
467967.000,0.999878,19998,8192.00
467967.000,0.999890,19998,9102.22
480511.000,0.999902,19999,10240.00
480511.000,0.999915,19999,11702.86
480511.000,0.999927,19999,13653.33
480511.000,0.999939,19999,16384.00
480511.000,0.999945,19999,18204.44
514815.000,0.999951,20000,20480.00
514815.000,1.000000,20000,inf
