Value,Percentile,TotalCount,1/(1-Percentile)
113983.000,0.000000,1,1.00
121599.000,0.100000,2052,1.11
123135.000,0.200000,4072,1.25
124543.000,0.300000,6063,1.43
125951.000,0.400000,8113,1.67
126719.000,0.500000,10193,2.00
126975.000,0.550000,11114,2.22
127231.000,0.600000,12095,2.50
127487.000,0.650000,13104,2.86
127743.000,0.700000,14019,3.33
128063.000,0.750000,15047,4.00
128255.000,0.775000,15593,4.44
128447.000,0.800000,16069,5.00
128703.000,0.825000,16633,5.71
128959.000,0.850000,17100,6.67
129215.000,0.875000,17520,8.00
129407.000,0.887500,17800,8.89
129599.000,0.900000,18068,10.00
129791.000,0.912500,18256,11.43
130047.000,0.925000,18520,13.33
130303.000,0.937500,18762,16.00
130495.000,0.943750,18907,17.78
130687.000,0.950000,19036,20.00
130815.000,0.956250,19137,22.86
131007.000,0.962500,19273,26.67
131327.000,0.968750,19420,32.00
131455.000,0.971875,19473,35.56
131583.000,0.975000,19517,40.00
131711.000,0.978125,19576,45.71
131967.000,0.981250,19653,53.33
132223.000,0.984375,19708,64.00
132351.000,0.985938,19735,71.11
132479.000,0.987500,19755,80.00
132735.000,0.989062,19785,91.43
132991.000,0.990625,19815,106.67
133375.000,0.992188,19844,128.00
133503.000,0.992969,19862,142.22
133887.000,0.993750,19876,160.00
134399.000,0.994531,19892,182.86
135679.000,0.995313,19908,213.33
137343.000,0.996094,19922,256.00
140159.000,0.996484,19930,284.44
142079.000,0.996875,19938,320.00
143487.000,0.997266,19946,365.71
144895.000,0.997656,19954,426.67
146431.000,0.998047,19961,512.00
147327.000,0.998242,19966,568.89
148351.000,0.998437,19969,640.00
148735.000,0.998633,19973,731.43
150271.000,0.998828,19977,853.33
152831.000,0.999023,19981,1024.00
153087.000,0.999121,19983,1137.78
155647.000,0.999219,19985,1280.00
159743.000,0.999316,19987,1462.86
166015.000,0.999414,19989,1706.67
168319.000,0.999512,19991,2048.00
168831.000,0.999561,19992,2275.56
170879.000,0.999609,19993,2560.00
172287.000,0.999658,19994,2925.71
173823.000,0.999707,19995,3413.33
174847.000,0.999756,19996,4096.00
174847.000,0.999780,19996,4551.11
176383.000,0.999805,19997,5120.00
176383.000,0.999829,19997,5851.43
178687.000,0.999854,19998,6826.67
178687.000,0.999878,19998,8192.00
178687.000,0.999890,19998,9102.22
179071.000,0.999902,19999,10240.00
179071.000,0.999915,19999,11702.86
179071.000,0.999927,19999,13653.33
179071.000,0.999939,19999,16384.00
179071.000,0.999945,19999,18204.44
217087.000,0.999951,20000,20480.00
217087.000,1.000000,20000,inf
