Value,Percentile,TotalCount,1/(1-Percentile)
11559.000,0.000000,1,1.00
12327.000,0.100000,2008,1.11
12479.000,0.200000,4122,1.25
12591.000,0.300000,6123,1.43
12695.000,0.400000,8061,1.67
12799.000,0.500000,10037,2.00
12855.000,0.550000,11054,2.22
12911.000,0.600000,12025,2.50
12975.000,0.650000,13073,2.86
13039.000,0.700000,14091,3.33
13103.000,0.750000,15019,4.00
13143.000,0.775000,15542,4.44
13191.000,0.800000,16089,5.00
13239.000,0.825000,16559,5.71
13295.000,0.850000,17003,6.67
13383.000,0.875000,17524,8.00
13439.000,0.887500,17765,8.89
13511.000,0.900000,18014,10.00
13607.000,0.912500,18252,11.43
13743.000,0.925000,18510,13.33
13911.000,0.937500,18761,16.00
14015.000,0.943750,18886,17.78
14127.000,0.950000,19006,20.00
14263.000,0.956250,19128,22.86
14511.000,0.962500,19255,26.67
14847.000,0.968750,19375,32.00
15135.000,0.971875,19440,35.56
15367.000,0.975000,19500,40.00
15855.000,0.978125,19564,45.71
16479.000,0.981250,19626,53.33
17311.000,0.984375,19688,64.00
18255.000,0.985938,19719,71.11
19983.000,0.987500,19751,80.00
22591.000,0.989062,19782,91.43
24975.000,0.990625,19813,106.67
26063.000,0.992188,19844,128.00
27231.000,0.992969,19860,142.22
34591.000,0.993750,19875,160.00
37663.000,0.994531,19891,182.86
40543.000,0.995313,19907,213.33
190335.000,0.996094,19922,256.00
192383.000,0.996484,19930,284.44
216959.000,0.996875,19939,320.00
218623.000,0.997266,19946,365.71
240511.000,0.997656,19954,426.67
241791.000,0.998047,19961,512.00
242431.000,0.998242,19965,568.89
271103.000,0.998437,19969,640.00
285439.000,0.998633,19973,731.43
286207.000,0.998828,19979,853.33
286719.000,0.999023,19981,1024.00
323071.000,0.999121,19983,1137.78
434431.000,0.999219,19985,1280.00
455935.000,0.999316,19987,1462.86
459775.000,0.999414,19989,1706.67
460287.000,0.999512,19991,2048.00
460543.000,0.999561,19992,2275.56
461311.000,0.999609,19993,2560.00
461567.000,0.999658,19994,2925.71
461823.000,0.999707,19995,3413.33
462079.000,0.999756,19996,4096.00
462079.000,0.999780,19996,4551.11
462335.000,0.999805,19997,5120.00
462335.000,0.999829,19997,5851.43
462591.000,0.999854,19998,6826.67
462591.000,0.999878,19998,8192.00
462591.000,0.999890,19998,9102.22
463359.000,0.999902,19999,10240.00
463359.000,0.999915,19999,11702.86
463359.000,0.999927,19999,13653.33
463359.000,0.999939,19999,16384.00
463359.000,0.999945,19999,18204.44
466175.000,0.999951,20000,20480.00
466175.000,1.000000,20000,inf
