Value,Percentile,TotalCount,1/(1-Percentile)
62303.000,0.000000,1,1.00
63455.000,0.100000,2048,1.11
64191.000,0.200000,4089,1.25
64543.000,0.300000,6107,1.43
64831.000,0.400000,8064,1.67
65343.000,0.500000,10023,2.00
65791.000,0.550000,11142,2.22
66111.000,0.600000,12099,2.50
66431.000,0.650000,13041,2.86
67071.000,0.700000,14076,3.33
68159.000,0.750000,15037,4.00
68991.000,0.775000,15518,4.44
69823.000,0.800000,16010,5.00
70463.000,0.825000,16519,5.71
71103.000,0.850000,17043,6.67
71743.000,0.875000,17532,8.00
72063.000,0.887500,17767,8.89
72447.000,0.900000,18012,10.00
72959.000,0.912500,18278,11.43
73535.000,0.925000,18505,13.33
74367.000,0.937500,18759,16.00
74943.000,0.943750,18882,17.78
75775.000,0.950000,19012,20.00
76671.000,0.956250,19129,22.86
78079.000,0.962500,19253,26.67
79871.000,0.968750,19379,32.00
80959.000,0.971875,19443,35.56
82047.000,0.975000,19504,40.00
83135.000,0.978125,19564,45.71
85311.000,0.981250,19626,53.33
87871.000,0.984375,19688,64.00
88895.000,0.985938,19719,71.11
90303.000,0.987500,19750,80.00
91775.000,0.989062,19783,91.43
93055.000,0.990625,19813,106.67
94591.000,0.992188,19844,128.00
95295.000,0.992969,19861,142.22
95743.000,0.993750,19875,160.00
96639.000,0.994531,19891,182.86
97407.000,0.995313,19907,213.33
98303.000,0.996094,19922,256.00
98751.000,0.996484,19931,284.44
99455.000,0.996875,19938,320.00
100159.000,0.997266,19946,365.71
101055.000,0.997656,19954,426.67
102399.000,0.998047,19961,512.00
102975.000,0.998242,19965,568.89
104383.000,0.998437,19969,640.00
104895.000,0.998633,19973,731.43
106815.000,0.998828,19977,853.33
108799.000,0.999023,19981,1024.00
109631.000,0.999121,19983,1137.78
109823.000,0.999219,19985,1280.00
110783.000,0.999316,19987,1462.86
113151.000,0.999414,19989,1706.67
114175.000,0.999512,19991,2048.00
114303.000,0.999561,19992,2275.56
114879.000,0.999609,19993,2560.00
114943.000,0.999658,19994,2925.71
116095.000,0.999707,19995,3413.33
116479.000,0.999756,19996,4096.00
116479.000,0.999780,19996,4551.11
116863.000,0.999805,19997,5120.00
116863.000,0.999829,19997,5851.43
118719.000,0.999854,19998,6826.67
118719.000,0.999878,19998,8192.00
118719.000,0.999890,19998,9102.22
119231.000,0.999902,19999,10240.00
119231.000,0.999915,19999,11702.86
119231.000,0.999927,19999,13653.33
119231.000,0.999939,19999,16384.00
119231.000,0.999945,19999,18204.44
132479.000,0.999951,20000,20480.00
132479.000,1.000000,20000,inf
