Value,Percentile,TotalCount,1/(1-Percentile)
37471.000,0.000000,1,1.00
38847.000,0.100000,2173,1.11
39071.000,0.200000,4089,1.25
39231.000,0.300000,6258,1.43
39359.000,0.400000,8254,1.67
39519.000,0.500000,10318,2.00
39615.000,0.550000,11283,2.22
39711.000,0.600000,12078,2.50
39903.000,0.650000,13094,2.86
40191.000,0.700000,14018,3.33
40959.000,0.750000,15011,4.00
41759.000,0.775000,15503,4.44
42111.000,0.800000,16001,5.00
42335.000,0.825000,16534,5.71
42527.000,0.850000,17019,6.67
42751.000,0.875000,17569,8.00
42847.000,0.887500,17774,8.89
42975.000,0.900000,18043,10.00
43135.000,0.912500,18263,11.43
43391.000,0.925000,18537,13.33
43679.000,0.937500,18781,16.00
43839.000,0.943750,18884,17.78
44063.000,0.950000,19002,20.00
44383.000,0.956250,19129,22.86
44735.000,0.962500,19253,26.67
45247.000,0.968750,19376,32.00
45567.000,0.971875,19441,35.56
45983.000,0.975000,19501,40.00
46687.000,0.978125,19564,45.71
47807.000,0.981250,19625,53.33
50943.000,0.984375,19688,64.00
52511.000,0.985938,19719,71.11
54591.000,0.987500,19750,80.00
56991.000,0.989062,19783,91.43
59647.000,0.990625,19813,106.67
61439.000,0.992188,19844,128.00
63071.000,0.992969,19860,142.22
63903.000,0.993750,19876,160.00
64607.000,0.994531,19891,182.86
65791.000,0.995313,19908,213.33
66879.000,0.996094,19922,256.00
67711.000,0.996484,19931,284.44
68479.000,0.996875,19938,320.00
69631.000,0.997266,19946,365.71
72191.000,0.997656,19955,426.67
73791.000,0.998047,19961,512.00
74815.000,0.998242,19965,568.89
77055.000,0.998437,19969,640.00
79167.000,0.998633,19973,731.43
79743.000,0.998828,19977,853.33
80639.000,0.999023,19981,1024.00
81535.000,0.999121,19983,1137.78
81727.000,0.999219,19985,1280.00
82751.000,0.999316,19987,1462.86
84479.000,0.999414,19989,1706.67
85695.000,0.999512,19991,2048.00
86079.000,0.999561,19992,2275.56
86783.000,0.999609,19993,2560.00
86847.000,0.999658,19994,2925.71
87487.000,0.999707,19995,3413.33
87807.000,0.999756,19996,4096.00
87807.000,0.999780,19996,4551.11
88063.000,0.999805,19997,5120.00
88063.000,0.999829,19997,5851.43
88703.000,0.999854,19998,6826.67
88703.000,0.999878,19998,8192.00
88703.000,0.999890,19998,9102.22
88895.000,0.999902,19999,10240.00
88895.000,0.999915,19999,11702.86
88895.000,0.999927,19999,13653.33
88895.000,0.999939,19999,16384.00
88895.000,0.999945,19999,18204.44
91711.000,0.999951,20000,20480.00
91711.000,1.000000,20000,inf
