Value,Percentile,TotalCount,1/(1-Percentile)
119935.000,0.000000,1,1.00
194047.000,0.100000,2002,1.11
208383.000,0.200000,4024,1.25
217215.000,0.300000,6017,1.43
223743.000,0.400000,8036,1.67
228991.000,0.500000,10014,2.00
231039.000,0.550000,11015,2.22
232703.000,0.600000,12006,2.50
234111.000,0.650000,13068,2.86
235263.000,0.700000,14012,3.33
236415.000,0.750000,15006,4.00
237055.000,0.775000,15580,4.44
237567.000,0.800000,16026,5.00
238207.000,0.825000,16522,5.71
238975.000,0.850000,17063,6.67
239871.000,0.875000,17549,8.00
240383.000,0.887500,17780,8.89
240895.000,0.900000,18007,10.00
241535.000,0.912500,18259,11.43
242175.000,0.925000,18500,13.33
243071.000,0.937500,18769,16.00
243583.000,0.943750,18885,17.78
244095.000,0.950000,19001,20.00
244735.000,0.956250,19135,22.86
245375.000,0.962500,19253,26.67
246271.000,0.968750,19378,32.00
246783.000,0.971875,19453,35.56
247295.000,0.975000,19510,40.00
247935.000,0.978125,19568,45.71
248831.000,0.981250,19625,53.33
250111.000,0.984375,19691,64.00
251007.000,0.985938,19721,71.11
252031.000,0.987500,19752,80.00
253183.000,0.989062,19784,91.43
255103.000,0.990625,19815,106.67
258687.000,0.992188,19844,128.00
260479.000,0.992969,19860,142.22
262911.000,0.993750,19875,160.00
265471.000,0.994531,19892,182.86
269055.000,0.995313,19908,213.33
271871.000,0.996094,19923,256.00
273919.000,0.996484,19930,284.44
275455.000,0.996875,19938,320.00
277503.000,0.997266,19949,365.71
279039.000,0.997656,19957,426.67
279807.000,0.998047,19961,512.00
281087.000,0.998242,19966,568.89
282367.000,0.998437,19969,640.00
283903.000,0.998633,19974,731.43
284671.000,0.998828,19977,853.33
285183.000,0.999023,19982,1024.00
285695.000,0.999121,19983,1137.78
285951.000,0.999219,19986,1280.00
286207.000,0.999316,19987,1462.86
287999.000,0.999414,19989,1706.67
290815.000,0.999512,19993,2048.00
290815.000,0.999561,19993,2275.56
290815.000,0.999609,19993,2560.00
292095.000,0.999658,19995,2925.71
292095.000,0.999707,19995,3413.33
293631.000,0.999756,19996,4096.00
293631.000,0.999780,19996,4551.11
293887.000,0.999805,19997,5120.00
293887.000,0.999829,19997,5851.43
294911.000,0.999854,19999,6826.67
294911.000,0.999878,19999,8192.00
294911.000,0.999890,19999,9102.22
294911.000,0.999902,19999,10240.00
294911.000,0.999915,19999,11702.86
294911.000,0.999927,19999,13653.33
294911.000,0.999939,19999,16384.00
294911.000,0.999945,19999,18204.44
295423.000,0.999951,20000,20480.00
295423.000,1.000000,20000,inf
