Value,Percentile,TotalCount,1/(1-Percentile)
8279.000,0.000000,1,1.00
8767.000,0.100000,2069,1.11
8871.000,0.200000,4105,1.25
8943.000,0.300000,6128,1.43
8999.000,0.400000,8216,1.67
9047.000,0.500000,10065,2.00
9079.000,0.550000,11190,2.22
9103.000,0.600000,12006,2.50
9143.000,0.650000,13218,2.86
9183.000,0.700000,14181,3.33
9231.000,0.750000,15143,4.00
9255.000,0.775000,15532,4.44
9295.000,0.800000,16092,5.00
9335.000,0.825000,16553,5.71
9391.000,0.850000,17044,6.67
9471.000,0.875000,17549,8.00
9519.000,0.887500,17791,8.89
9567.000,0.900000,18008,10.00
9631.000,0.912500,18278,11.43
9695.000,0.925000,18503,13.33
9783.000,0.937500,18765,16.00
9831.000,0.943750,18879,17.78
9903.000,0.950000,19002,20.00
10007.000,0.956250,19131,22.86
10127.000,0.962500,19252,26.67
10319.000,0.968750,19376,32.00
10439.000,0.971875,19439,35.56
10623.000,0.975000,19501,40.00
10871.000,0.978125,19563,45.71
11143.000,0.981250,19626,53.33
11343.000,0.984375,19690,64.00
11471.000,0.985938,19722,71.11
11631.000,0.987500,19751,80.00
11799.000,0.989062,19783,91.43
12039.000,0.990625,19814,106.67
12215.000,0.992188,19844,128.00
12303.000,0.992969,19860,142.22
12407.000,0.993750,19875,160.00
12599.000,0.994531,19891,182.86
12759.000,0.995313,19907,213.33
13055.000,0.996094,19922,256.00
13215.000,0.996484,19930,284.44
13719.000,0.996875,19938,320.00
14343.000,0.997266,19946,365.71
15287.000,0.997656,19954,426.67
16639.000,0.998047,19962,512.00
18815.000,0.998242,19965,568.89
19791.000,0.998437,19969,640.00
21967.000,0.998633,19973,731.43
22575.000,0.998828,19977,853.33
23023.000,0.999023,19981,1024.00
23583.000,0.999121,19983,1137.78
24255.000,0.999219,19985,1280.00
24943.000,0.999316,19987,1462.86
25951.000,0.999414,19989,1706.67
26015.000,0.999512,19991,2048.00
26447.000,0.999561,19992,2275.56
27711.000,0.999609,19993,2560.00
28031.000,0.999658,19994,2925.71
29599.000,0.999707,19995,3413.33
29903.000,0.999756,19996,4096.00
29903.000,0.999780,19996,4551.11
30063.000,0.999805,19997,5120.00
30063.000,0.999829,19997,5851.43
31087.000,0.999854,19998,6826.67
31087.000,0.999878,19998,8192.00
31087.000,0.999890,19998,9102.22
32015.000,0.999902,19999,10240.00
32015.000,0.999915,19999,11702.86
32015.000,0.999927,19999,13653.33
32015.000,0.999939,19999,16384.00
32015.000,0.999945,19999,18204.44
36767.000,0.999951,20000,20480.00
36767.000,1.000000,20000,inf
