Value,Percentile,TotalCount,1/(1-Percentile)
4039.000,0.000000,1,1.00
4159.000,0.100000,2138,1.11
4203.000,0.200000,4152,1.25
4239.000,0.300000,6236,1.43
4263.000,0.400000,8157,1.67
4295.000,0.500000,10067,2.00
4311.000,0.550000,11019,2.22
4331.000,0.600000,12168,2.50
4347.000,0.650000,13088,2.86
4367.000,0.700000,14029,3.33
4403.000,0.750000,15123,4.00
4419.000,0.775000,15535,4.44
4443.000,0.800000,16011,5.00
4483.000,0.825000,16504,5.71
4555.000,0.850000,17008,6.67
4747.000,0.875000,17504,8.00
4939.000,0.887500,17756,8.89
5447.000,0.900000,18000,10.00
6435.000,0.912500,18251,11.43
6695.000,0.925000,18505,13.33
6883.000,0.937500,18751,16.00
6991.000,0.943750,18875,17.78
7103.000,0.950000,19000,20.00
7211.000,0.956250,19126,22.86
7343.000,0.962500,19253,26.67
7503.000,0.968750,19378,32.00
7587.000,0.971875,19438,35.56
7683.000,0.975000,19502,40.00
7791.000,0.978125,19565,45.71
7923.000,0.981250,19627,53.33
8099.000,0.984375,19690,64.00
8175.000,0.985938,19719,71.11
8311.000,0.987500,19755,80.00
8423.000,0.989062,19782,91.43
8583.000,0.990625,19814,106.67
8727.000,0.992188,19844,128.00
8863.000,0.992969,19860,142.22
9055.000,0.993750,19875,160.00
9231.000,0.994531,19891,182.86
9415.000,0.995313,19907,213.33
9687.000,0.996094,19922,256.00
9975.000,0.996484,19932,284.44
10199.000,0.996875,19938,320.00
10655.000,0.997266,19946,365.71
11255.000,0.997656,19954,426.67
11471.000,0.998047,19961,512.00
11767.000,0.998242,19965,568.89
12439.000,0.998437,19969,640.00
13351.000,0.998633,19973,731.43
16215.000,0.998828,19977,853.33
17375.000,0.999023,19981,1024.00
18623.000,0.999121,19983,1137.78
21919.000,0.999219,19985,1280.00
24815.000,0.999316,19987,1462.86
26287.000,0.999414,19989,1706.67
26767.000,0.999512,19991,2048.00
28047.000,0.999561,19992,2275.56
28207.000,0.999609,19993,2560.00
29055.000,0.999658,19994,2925.71
29183.000,0.999707,19995,3413.33
29407.000,0.999756,19996,4096.00
29407.000,0.999780,19996,4551.11
30895.000,0.999805,19997,5120.00
30895.000,0.999829,19997,5851.43
31775.000,0.999854,19998,6826.67
31775.000,0.999878,19998,8192.00
31775.000,0.999890,19998,9102.22
32655.000,0.999902,19999,10240.00
32655.000,0.999915,19999,11702.86
32655.000,0.999927,19999,13653.33
32655.000,0.999939,19999,16384.00
32655.000,0.999945,19999,18204.44
36191.000,0.999951,20000,20480.00
36191.000,1.000000,20000,inf
