Value,Percentile,TotalCount,1/(1-Percentile)
59839.000,0.000000,1,1.00
98751.000,0.100000,2005,1.11
105599.000,0.200000,4007,1.25
110015.000,0.300000,6030,1.43
113023.000,0.400000,8042,1.67
115135.000,0.500000,10009,2.00
116031.000,0.550000,11042,2.22
116863.000,0.600000,12040,2.50
117631.000,0.650000,13019,2.86
118463.000,0.700000,14052,3.33
119359.000,0.750000,15072,4.00
119743.000,0.775000,15519,4.44
120191.000,0.800000,16040,5.00
120703.000,0.825000,16548,5.71
121215.000,0.850000,17005,6.67
121855.000,0.875000,17528,8.00
122175.000,0.887500,17758,8.89
122559.000,0.900000,18019,10.00
123007.000,0.912500,18259,11.43
123519.000,0.925000,18501,13.33
124223.000,0.937500,18756,16.00
124607.000,0.943750,18889,17.78
125055.000,0.950000,19018,20.00
125503.000,0.956250,19135,22.86
126143.000,0.962500,19253,26.67
126847.000,0.968750,19377,32.00
127295.000,0.971875,19446,35.56
127615.000,0.975000,19501,40.00
128127.000,0.978125,19568,45.71
129087.000,0.981250,19627,53.33
130431.000,0.984375,19689,64.00
131583.000,0.985938,19722,71.11
132479.000,0.987500,19750,80.00
134015.000,0.989062,19782,91.43
135935.000,0.990625,19816,106.67
137599.000,0.992188,19845,128.00
138367.000,0.992969,19860,142.22
139519.000,0.993750,19877,160.00
141183.000,0.994531,19891,182.86
142719.000,0.995313,19907,213.33
144511.000,0.996094,19924,256.00
145535.000,0.996484,19931,284.44
146815.000,0.996875,19938,320.00
148735.000,0.997266,19946,365.71
150143.000,0.997656,19954,426.67
151167.000,0.998047,19961,512.00
152703.000,0.998242,19965,568.89
153983.000,0.998437,19969,640.00
155263.000,0.998633,19973,731.43
157695.000,0.998828,19977,853.33
159103.000,0.999023,19981,1024.00
160895.000,0.999121,19983,1137.78
161791.000,0.999219,19985,1280.00
163967.000,0.999316,19987,1462.86
166271.000,0.999414,19989,1706.67
170367.000,0.999512,19991,2048.00
171519.000,0.999561,19992,2275.56
171647.000,0.999609,19993,2560.00
175871.000,0.999658,19994,2925.71
182655.000,0.999707,19995,3413.33
189055.000,0.999756,19996,4096.00
189055.000,0.999780,19996,4551.11
194559.000,0.999805,19997,5120.00
194559.000,0.999829,19997,5851.43
195839.000,0.999854,19998,6826.67
195839.000,0.999878,19998,8192.00
195839.000,0.999890,19998,9102.22
237055.000,0.999902,19999,10240.00
237055.000,0.999915,19999,11702.86
237055.000,0.999927,19999,13653.33
237055.000,0.999939,19999,16384.00
237055.000,0.999945,19999,18204.44
238591.000,0.999951,20000,20480.00
238591.000,1.000000,20000,inf
