Value,Percentile,TotalCount,1/(1-Percentile)
5747.000,0.000000,1,1.00
6867.000,0.100000,2083,1.11
6903.000,0.200000,4222,1.25
6931.000,0.300000,6101,1.43
6971.000,0.400000,8057,1.67
7035.000,0.500000,10095,2.00
7067.000,0.550000,11064,2.22
7099.000,0.600000,12072,2.50
7135.000,0.650000,13044,2.86
7175.000,0.700000,14083,3.33
7219.000,0.750000,15033,4.00
7247.000,0.775000,15551,4.44
7275.000,0.800000,16048,5.00
7303.000,0.825000,16553,5.71
7327.000,0.850000,17004,6.67
7359.000,0.875000,17536,8.00
7375.000,0.887500,17801,8.89
7387.000,0.900000,18010,10.00
7407.000,0.912500,18309,11.43
7423.000,0.925000,18529,13.33
7443.000,0.937500,18766,16.00
7455.000,0.943750,18889,17.78
7467.000,0.950000,19004,20.00
7487.000,0.956250,19148,22.86
7507.000,0.962500,19267,26.67
7531.000,0.968750,19376,32.00
7551.000,0.971875,19441,35.56
7567.000,0.975000,19501,40.00
7603.000,0.978125,19563,45.71
7651.000,0.981250,19627,53.33
7759.000,0.984375,19690,64.00
7847.000,0.985938,19720,71.11
8207.000,0.987500,19750,80.00
8911.000,0.989062,19782,91.43
9647.000,0.990625,19814,106.67
10399.000,0.992188,19844,128.00
10703.000,0.992969,19860,142.22
13599.000,0.993750,19875,160.00
18943.000,0.994531,19891,182.86
19679.000,0.995313,19907,213.33
20719.000,0.996094,19922,256.00
29487.000,0.996484,19930,284.44
31263.000,0.996875,19938,320.00
32095.000,0.997266,19946,365.71
33183.000,0.997656,19954,426.67
66047.000,0.998047,19961,512.00
168319.000,0.998242,19965,568.89
177279.000,0.998437,19970,640.00
178687.000,0.998633,19973,731.43
233343.000,0.998828,19977,853.33
234495.000,0.999023,19981,1024.00
287743.000,0.999121,19983,1137.78
301055.000,0.999219,19985,1280.00
317695.000,0.999316,19987,1462.86
376831.000,0.999414,19989,1706.67
522495.000,0.999512,19991,2048.00
523007.000,0.999561,19992,2275.56
584191.000,0.999609,19993,2560.00
585727.000,0.999658,19994,2925.71
586239.000,0.999707,19996,3413.33
586239.000,0.999756,19996,4096.00
586239.000,0.999780,19996,4551.11
586751.000,0.999805,19997,5120.00
586751.000,0.999829,19997,5851.43
587263.000,0.999854,19998,6826.67
587263.000,0.999878,19998,8192.00
587263.000,0.999890,19998,9102.22
629759.000,0.999902,19999,10240.00
629759.000,0.999915,19999,11702.86
629759.000,0.999927,19999,13653.33
629759.000,0.999939,19999,16384.00
629759.000,0.999945,19999,18204.44
707071.000,0.999951,20000,20480.00
707071.000,1.000000,20000,inf
