name,status,count,p50_ns,p90_ns,p99_ns,p99_9_ns,mean_ns,max_ns,reason
"qleaf/cpu/compact/branch/nothread",ok,20000,3803,3927,4963,7483,3859.57,30143,""
"qleaf/cpu/compact/bitmask/nothread",ok,20000,115135,122559,135167,158847,112838,238591,""
"qleaf/cpu/compact/branch/threads:1",ok,20000,4069,4167,6395,9167,4129.13,88895,""
"qleaf/cpu/compact/bitmask/threads:1",ok,20000,112639,117887,123135,143231,109716,159999,""
"qleaf/cpu/compact/branch/threads:2",ok,20000,2219,4175,4891,6731,2505.07,98111,""
"qleaf/cpu/compact/bitmask/threads:2",ok,20000,57055,59519,62495,69183,55751.2,100927,""
"qleaf/cpu/compact/branch/threads:4",ok,20000,1273,1334,1658,4111,1295.51,127359,""
"qleaf/cpu/compact/bitmask/threads:4",ok,20000,31583,33247,34815,39455,31325.2,51935,""
"qleaf/cpu/compact/branch/threads:8",ok,20000,1480,1580,1786,3787,1492.54,22623,""
"qleaf/cpu/compact/bitmask/threads:8",ok,20000,19887,21823,22927,25263,19453.2,40159,""
"qleaf/cpu/compact/branch/threads:16",ok,20000,1153,1260,1364,3685,1157.37,35711,""
"qleaf/cpu/compact/bitmask/threads:16",ok,20000,11039,11543,13175,34367,11102.8,61471,""
"qleaf/gpu/bt:256/compact",skipped,0,0,0,0,0,0,0,"this binary was compiled with QLEAF_BT=1024"
"qleaf/gpu/bt:512/compact",skipped,0,0,0,0,0,0,0,"this binary was compiled with QLEAF_BT=1024"
"qleaf/gpu/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:0/seqflag:1",ok,20000,7035,7387,9311,234239,7783.3,707071,""
"qleaf/gpu/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1",ok,20000,7127,7551,8407,233983,7728.32,639999,""
