Value,Percentile,TotalCount,1/(1-Percentile)
3723.000,0.000000,1,1.00
4319.000,0.100000,2065,1.11
4351.000,0.200000,4203,1.25
4367.000,0.300000,6109,1.43
4383.000,0.400000,8330,1.67
4395.000,0.500000,10071,2.00
4403.000,0.550000,11173,2.22
4411.000,0.600000,12143,2.50
4419.000,0.650000,13032,2.86
4431.000,0.700000,14147,3.33
4447.000,0.750000,15199,4.00
4455.000,0.775000,15589,4.44
4467.000,0.800000,16038,5.00
4483.000,0.825000,16509,5.71
4515.000,0.850000,17056,6.67
4555.000,0.875000,17508,8.00
4583.000,0.887500,17781,8.89
4615.000,0.900000,18013,10.00
4659.000,0.912500,18267,11.43
4707.000,0.925000,18503,13.33
4759.000,0.937500,18762,16.00
4787.000,0.943750,18887,17.78
4811.000,0.950000,19017,20.00
4827.000,0.956250,19126,22.86
4847.000,0.962500,19258,26.67
4863.000,0.968750,19380,32.00
4875.000,0.971875,19445,35.56
4887.000,0.975000,19510,40.00
4899.000,0.978125,19579,45.71
4915.000,0.981250,19641,53.33
4935.000,0.984375,19692,64.00
4947.000,0.985938,19722,71.11
4963.000,0.987500,19751,80.00
4983.000,0.989062,19783,91.43
5023.000,0.990625,19813,106.67
5171.000,0.992188,19844,128.00
5267.000,0.992969,19860,142.22
5379.000,0.993750,19875,160.00
5551.000,0.994531,19891,182.86
5763.000,0.995313,19908,213.33
6139.000,0.996094,19922,256.00
6375.000,0.996484,19930,284.44
6611.000,0.996875,19938,320.00
7127.000,0.997266,19946,365.71
9367.000,0.997656,19954,426.67
12271.000,0.998047,19961,512.00
14791.000,0.998242,19965,568.89
17231.000,0.998437,19969,640.00
165887.000,0.998633,19973,731.43
255359.000,0.998828,19977,853.33
260863.000,0.999023,19981,1024.00
334847.000,0.999121,19983,1137.78
335359.000,0.999219,19985,1280.00
346111.000,0.999316,19987,1462.86
422911.000,0.999414,19990,1706.67
423679.000,0.999512,19991,2048.00
424447.000,0.999561,19992,2275.56
424703.000,0.999609,19994,2560.00
424703.000,0.999658,19994,2925.71
424959.000,0.999707,19995,3413.33
425471.000,0.999756,19996,4096.00
425471.000,0.999780,19996,4551.11
425727.000,0.999805,19998,5120.00
425727.000,0.999829,19998,5851.43
425727.000,0.999854,19998,6826.67
425727.000,0.999878,19998,8192.00
425727.000,0.999890,19998,9102.22
426495.000,0.999902,19999,10240.00
426495.000,0.999915,19999,11702.86
426495.000,0.999927,19999,13653.33
426495.000,0.999939,19999,16384.00
426495.000,0.999945,19999,18204.44
427775.000,0.999951,20000,20480.00
427775.000,1.000000,20000,inf
