Value,Percentile,TotalCount,1/(1-Percentile)
589311.000,0.000000,3,1.00
611327.000,0.100000,2129,1.11
616447.000,0.200000,4201,1.25
622591.000,0.300000,6104,1.43
667135.000,0.400000,8041,1.67
674815.000,0.500000,10102,2.00
676863.000,0.550000,11154,2.22
678399.000,0.600000,12034,2.50
680447.000,0.650000,13283,2.86
681983.000,0.700000,14194,3.33
683519.000,0.750000,15000,4.00
684543.000,0.775000,15519,4.44
686079.000,0.800000,16158,5.00
687103.000,0.825000,16507,5.71
689151.000,0.850000,17049,6.67
692223.000,0.875000,17574,8.00
694271.000,0.887500,17791,8.89
697343.000,0.900000,18005,10.00
702975.000,0.912500,18259,11.43
710143.000,0.925000,18510,13.33
719871.000,0.937500,18763,16.00
723967.000,0.943750,18879,17.78
729087.000,0.950000,19002,20.00
736255.000,0.956250,19127,22.86
745471.000,0.962500,19258,26.67
754687.000,0.968750,19376,32.00
760831.000,0.971875,19439,35.56
769535.000,0.975000,19500,40.00
780799.000,0.978125,19563,45.71
790527.000,0.981250,19628,53.33
800767.000,0.984375,19689,64.00
809471.000,0.985938,19720,71.11
820223.000,0.987500,19750,80.00
833023.000,0.989062,19784,91.43
845823.000,0.990625,19815,106.67
862207.000,0.992188,19844,128.00
873471.000,0.992969,19860,142.22
889343.000,0.993750,19875,160.00
911359.000,0.994531,19891,182.86
933375.000,0.995313,19907,213.33
954367.000,0.996094,19922,256.00
972799.000,0.996484,19931,284.44
994303.000,0.996875,19938,320.00
1014271.000,0.997266,19946,365.71
1049599.000,0.997656,19954,426.67
1085439.000,0.998047,19961,512.00
1093631.000,0.998242,19965,568.89
1105919.000,0.998437,19969,640.00
1124351.000,0.998633,19973,731.43
1169407.000,0.998828,19978,853.33
1190911.000,0.999023,19981,1024.00
1231871.000,0.999121,19983,1137.78
1336319.000,0.999219,19985,1280.00
1405951.000,0.999316,19987,1462.86
1492991.000,0.999414,19989,1706.67
1516543.000,0.999512,19991,2048.00
1576959.000,0.999561,19992,2275.56
1582079.000,0.999609,19993,2560.00
1756159.000,0.999658,19994,2925.71
1870847.000,0.999707,19995,3413.33
2043903.000,0.999756,19996,4096.00
2043903.000,0.999780,19996,4551.11
2086911.000,0.999805,19997,5120.00
2086911.000,0.999829,19997,5851.43
2105343.000,0.999854,19998,6826.67
2105343.000,0.999878,19998,8192.00
2105343.000,0.999890,19998,9102.22
2250751.000,0.999902,19999,10240.00
2250751.000,0.999915,19999,11702.86
2250751.000,0.999927,19999,13653.33
2250751.000,0.999939,19999,16384.00
2250751.000,0.999945,19999,18204.44
2648063.000,0.999951,20000,20480.00
2648063.000,1.000000,20000,inf
