Value,Percentile,TotalCount,1/(1-Percentile)
91647.000,0.000000,1,1.00
96319.000,0.100000,2058,1.11
97023.000,0.200000,4019,1.25
97599.000,0.300000,6254,1.43
97983.000,0.400000,8128,1.67
98303.000,0.500000,10007,2.00
98495.000,0.550000,11157,2.22
98687.000,0.600000,12354,2.50
98815.000,0.650000,13113,2.86
99007.000,0.700000,14253,3.33
99199.000,0.750000,15321,4.00
99263.000,0.775000,15603,4.44
99391.000,0.800000,16230,5.00
99455.000,0.825000,16512,5.71
99583.000,0.850000,17031,6.67
99775.000,0.875000,17648,8.00
99839.000,0.887500,17853,8.89
99903.000,0.900000,18012,10.00
100031.000,0.912500,18282,11.43
100159.000,0.925000,18511,13.33
100351.000,0.937500,18768,16.00
100479.000,0.943750,18932,17.78
100607.000,0.950000,19063,20.00
100671.000,0.956250,19125,22.86
100863.000,0.962500,19285,26.67
101055.000,0.968750,19397,32.00
101119.000,0.971875,19447,35.56
101247.000,0.975000,19525,40.00
101375.000,0.978125,19600,45.71
101439.000,0.981250,19632,53.33
101567.000,0.984375,19699,64.00
101631.000,0.985938,19727,71.11
101759.000,0.987500,19761,80.00
101823.000,0.989062,19789,91.43
101887.000,0.990625,19813,106.67
102079.000,0.992188,19851,128.00
102207.000,0.992969,19866,142.22
102271.000,0.993750,19878,160.00
102399.000,0.994531,19893,182.86
102591.000,0.995313,19912,213.33
102783.000,0.996094,19927,256.00
102911.000,0.996484,19931,284.44
103039.000,0.996875,19938,320.00
103167.000,0.997266,19947,365.71
103295.000,0.997656,19955,426.67
103423.000,0.998047,19961,512.00
103679.000,0.998242,19965,568.89
104127.000,0.998437,19969,640.00
105343.000,0.998633,19973,731.43
105791.000,0.998828,19977,853.33
113727.000,0.999023,19981,1024.00
118463.000,0.999121,19983,1137.78
119359.000,0.999219,19985,1280.00
124863.000,0.999316,19987,1462.86
126655.000,0.999414,19989,1706.67
130559.000,0.999512,19991,2048.00
142463.000,0.999561,19992,2275.56
143615.000,0.999609,19993,2560.00
155903.000,0.999658,19994,2925.71
156287.000,0.999707,19995,3413.33
162175.000,0.999756,19996,4096.00
162175.000,0.999780,19996,4551.11
213247.000,0.999805,19997,5120.00
213247.000,0.999829,19997,5851.43
262911.000,0.999854,19998,6826.67
262911.000,0.999878,19998,8192.00
262911.000,0.999890,19998,9102.22
465407.000,0.999902,19999,10240.00
465407.000,0.999915,19999,11702.86
465407.000,0.999927,19999,13653.33
465407.000,0.999939,19999,16384.00
465407.000,0.999945,19999,18204.44
520959.000,0.999951,20000,20480.00
520959.000,1.000000,20000,inf
