Value,Percentile,TotalCount,1/(1-Percentile)
5443.000,0.000000,1,1.00
5875.000,0.100000,2067,1.11
5927.000,0.200000,4104,1.25
5967.000,0.300000,6085,1.43
6007.000,0.400000,8104,1.67
6047.000,0.500000,10014,2.00
6071.000,0.550000,11100,2.22
6095.000,0.600000,12087,2.50
6119.000,0.650000,13002,2.86
6151.000,0.700000,14097,3.33
6187.000,0.750000,15089,4.00
6207.000,0.775000,15579,4.44
6227.000,0.800000,16069,5.00
6247.000,0.825000,16504,5.71
6275.000,0.850000,17011,6.67
6307.000,0.875000,17510,8.00
6327.000,0.887500,17799,8.89
6347.000,0.900000,18025,10.00
6371.000,0.912500,18255,11.43
6403.000,0.925000,18516,13.33
6439.000,0.937500,18775,16.00
6455.000,0.943750,18875,17.78
6483.000,0.950000,19018,20.00
6503.000,0.956250,19126,22.86
6535.000,0.962500,19261,26.67
6567.000,0.968750,19377,32.00
6587.000,0.971875,19443,35.56
6607.000,0.975000,19503,40.00
6635.000,0.978125,19568,45.71
6671.000,0.981250,19633,53.33
6727.000,0.984375,19692,64.00
6755.000,0.985938,19726,71.11
6779.000,0.987500,19750,80.00
6843.000,0.989062,19785,91.43
6931.000,0.990625,19813,106.67
7087.000,0.992188,19844,128.00
7283.000,0.992969,19860,142.22
8247.000,0.993750,19875,160.00
8527.000,0.994531,19891,182.86
8743.000,0.995313,19907,213.33
8927.000,0.996094,19922,256.00
9087.000,0.996484,19930,284.44
9191.000,0.996875,19938,320.00
9311.000,0.997266,19946,365.71
9519.000,0.997656,19954,426.67
9583.000,0.998047,19961,512.00
9759.000,0.998242,19965,568.89
9807.000,0.998437,19969,640.00
10215.000,0.998633,19973,731.43
10327.000,0.998828,19977,853.33
10519.000,0.999023,19981,1024.00
10655.000,0.999121,19983,1137.78
10751.000,0.999219,19985,1280.00
11031.000,0.999316,19987,1462.86
11375.000,0.999414,19989,1706.67
12255.000,0.999512,19991,2048.00
12343.000,0.999561,19992,2275.56
13071.000,0.999609,19993,2560.00
13255.000,0.999658,19994,2925.71
13535.000,0.999707,19995,3413.33
14375.000,0.999756,19996,4096.00
14375.000,0.999780,19996,4551.11
22671.000,0.999805,19997,5120.00
22671.000,0.999829,19997,5851.43
24895.000,0.999854,19998,6826.67
24895.000,0.999878,19998,8192.00
24895.000,0.999890,19998,9102.22
35775.000,0.999902,19999,10240.00
35775.000,0.999915,19999,11702.86
35775.000,0.999927,19999,13653.33
35775.000,0.999939,19999,16384.00
35775.000,0.999945,19999,18204.44
57119.000,0.999951,20000,20480.00
57119.000,1.000000,20000,inf
