Value,Percentile,TotalCount,1/(1-Percentile)
97855.000,0.000000,2,1.00
101631.000,0.100000,2133,1.11
102207.000,0.200000,4193,1.25
102591.000,0.300000,6151,1.43
102911.000,0.400000,8165,1.67
103231.000,0.500000,10317,2.00
103359.000,0.550000,11161,2.22
103487.000,0.600000,12000,2.50
103679.000,0.650000,13171,2.86
103871.000,0.700000,14236,3.33
104063.000,0.750000,15157,4.00
104191.000,0.775000,15729,4.44
104319.000,0.800000,16228,5.00
104447.000,0.825000,16673,5.71
104575.000,0.850000,17104,6.67
104767.000,0.875000,17648,8.00
104831.000,0.887500,17812,8.89
104959.000,0.900000,18089,10.00
105087.000,0.912500,18322,11.43
105215.000,0.925000,18540,13.33
105343.000,0.937500,18753,16.00
105471.000,0.943750,18908,17.78
105599.000,0.950000,19050,20.00
105727.000,0.956250,19160,22.86
105855.000,0.962500,19250,26.67
106047.000,0.968750,19377,32.00
106175.000,0.971875,19450,35.56
106303.000,0.975000,19510,40.00
106495.000,0.978125,19589,45.71
106623.000,0.981250,19626,53.33
106879.000,0.984375,19694,64.00
107007.000,0.985938,19725,71.11
107199.000,0.987500,19751,80.00
107455.000,0.989062,19784,91.43
107903.000,0.990625,19813,106.67
108479.000,0.992188,19844,128.00
108799.000,0.992969,19861,142.22
109119.000,0.993750,19875,160.00
110015.000,0.994531,19896,182.86
110783.000,0.995313,19909,213.33
111295.000,0.996094,19922,256.00
111871.000,0.996484,19930,284.44
112831.000,0.996875,19938,320.00
113343.000,0.997266,19947,365.71
115007.000,0.997656,19955,426.67
115967.000,0.998047,19961,512.00
118079.000,0.998242,19965,568.89
118527.000,0.998437,19969,640.00
119551.000,0.998633,19974,731.43
121599.000,0.998828,19977,853.33
122943.000,0.999023,19981,1024.00
134527.000,0.999121,19983,1137.78
138239.000,0.999219,19985,1280.00
154623.000,0.999316,19987,1462.86
167423.000,0.999414,19990,1706.67
176383.000,0.999512,19991,2048.00
186367.000,0.999561,19992,2275.56
226047.000,0.999609,19993,2560.00
329727.000,0.999658,19994,2925.71
410623.000,0.999707,19995,3413.33
428799.000,0.999756,19996,4096.00
428799.000,0.999780,19996,4551.11
505343.000,0.999805,19997,5120.00
505343.000,0.999829,19997,5851.43
764927.000,0.999854,19998,6826.67
764927.000,0.999878,19998,8192.00
764927.000,0.999890,19998,9102.22
868863.000,0.999902,19999,10240.00
868863.000,0.999915,19999,11702.86
868863.000,0.999927,19999,13653.33
868863.000,0.999939,19999,16384.00
868863.000,0.999945,19999,18204.44
2079743.000,0.999951,20000,20480.00
2079743.000,1.000000,20000,inf
