Value,Percentile,TotalCount,1/(1-Percentile)
6723.000,0.000000,1,1.00
7431.000,0.100000,2048,1.11
7583.000,0.200000,4026,1.25
7711.000,0.300000,6029,1.43
7827.000,0.400000,8033,1.67
7947.000,0.500000,10059,2.00
8011.000,0.550000,11046,2.22
8079.000,0.600000,12063,2.50
8151.000,0.650000,13013,2.86
8247.000,0.700000,14038,3.33
8359.000,0.750000,15055,4.00
8423.000,0.775000,15510,4.44
8511.000,0.800000,16010,5.00
8631.000,0.825000,16516,5.71
8791.000,0.850000,17016,6.67
9103.000,0.875000,17502,8.00
9375.000,0.887500,17752,8.89
9711.000,0.900000,18001,10.00
10135.000,0.912500,18252,11.43
10607.000,0.925000,18502,13.33
11111.000,0.937500,18757,16.00
11399.000,0.943750,18877,17.78
11687.000,0.950000,19001,20.00
12103.000,0.956250,19126,22.86
12479.000,0.962500,19250,26.67
12895.000,0.968750,19377,32.00
13175.000,0.971875,19439,35.56
13399.000,0.975000,19500,40.00
13703.000,0.978125,19563,45.71
13959.000,0.981250,19627,53.33
14335.000,0.984375,19689,64.00
14543.000,0.985938,19723,71.11
14751.000,0.987500,19750,80.00
15015.000,0.989062,19782,91.43
15303.000,0.990625,19813,106.67
15575.000,0.992188,19844,128.00
15791.000,0.992969,19860,142.22
15951.000,0.993750,19875,160.00
16207.000,0.994531,19893,182.86
16575.000,0.995313,19907,213.33
16847.000,0.996094,19922,256.00
17055.000,0.996484,19931,284.44
17407.000,0.996875,19939,320.00
17647.000,0.997266,19946,365.71
18271.000,0.997656,19954,426.67
18783.000,0.998047,19961,512.00
19487.000,0.998242,19965,568.89
19711.000,0.998437,19969,640.00
20447.000,0.998633,19973,731.43
20975.000,0.998828,19977,853.33
21503.000,0.999023,19981,1024.00
22511.000,0.999121,19983,1137.78
23023.000,0.999219,19985,1280.00
23119.000,0.999316,19987,1462.86
23567.000,0.999414,19989,1706.67
24607.000,0.999512,19991,2048.00
28655.000,0.999561,19992,2275.56
28783.000,0.999609,19993,2560.00
30479.000,0.999658,19994,2925.71
31711.000,0.999707,19995,3413.33
33823.000,0.999756,19996,4096.00
33823.000,0.999780,19996,4551.11
34655.000,0.999805,19997,5120.00
34655.000,0.999829,19997,5851.43
50207.000,0.999854,19998,6826.67
50207.000,0.999878,19998,8192.00
50207.000,0.999890,19998,9102.22
65727.000,0.999902,19999,10240.00
65727.000,0.999915,19999,11702.86
65727.000,0.999927,19999,13653.33
65727.000,0.999939,19999,16384.00
65727.000,0.999945,19999,18204.44
80255.000,0.999951,20000,20480.00
80255.000,1.000000,20000,inf
