Value,Percentile,TotalCount,1/(1-Percentile)
110207.000,0.000000,1,1.00
113983.000,0.100000,2005,1.11
114559.000,0.200000,4169,1.25
114943.000,0.300000,6201,1.43
115263.000,0.400000,8077,1.67
115583.000,0.500000,10168,2.00
115775.000,0.550000,11366,2.22
115903.000,0.600000,12099,2.50
116095.000,0.650000,13156,2.86
116287.000,0.700000,14179,3.33
116543.000,0.750000,15194,4.00
116671.000,0.775000,15672,4.44
116799.000,0.800000,16079,5.00
116991.000,0.825000,16601,5.71
117247.000,0.850000,17116,6.67
117567.000,0.875000,17540,8.00
117759.000,0.887500,17772,8.89
118015.000,0.900000,18061,10.00
118207.000,0.912500,18268,11.43
118463.000,0.925000,18523,13.33
118783.000,0.937500,18774,16.00
118975.000,0.943750,18886,17.78
119167.000,0.950000,19004,20.00
119423.000,0.956250,19136,22.86
119743.000,0.962500,19276,26.67
120191.000,0.968750,19384,32.00
120639.000,0.971875,19443,35.56
121855.000,0.975000,19502,40.00
124351.000,0.978125,19564,45.71
129023.000,0.981250,19625,53.33
145023.000,0.984375,19689,64.00
146687.000,0.985938,19720,71.11
148223.000,0.987500,19750,80.00
153215.000,0.989062,19784,91.43
170623.000,0.990625,19814,106.67
175615.000,0.992188,19845,128.00
176255.000,0.992969,19864,142.22
177023.000,0.993750,19879,160.00
177535.000,0.994531,19896,182.86
178047.000,0.995313,19909,213.33
179583.000,0.996094,19922,256.00
181503.000,0.996484,19931,284.44
183423.000,0.996875,19938,320.00
188159.000,0.997266,19946,365.71
193663.000,0.997656,19954,426.67
210303.000,0.998047,19961,512.00
241791.000,0.998242,19965,568.89
303103.000,0.998437,19969,640.00
461567.000,0.998633,19973,731.43
574975.000,0.998828,19977,853.33
751615.000,0.999023,19981,1024.00
999423.000,0.999121,19983,1137.78
1166335.000,0.999219,19985,1280.00
1289215.000,0.999316,19987,1462.86
1404927.000,0.999414,19989,1706.67
1616895.000,0.999512,19991,2048.00
1782783.000,0.999561,19992,2275.56
1794047.000,0.999609,19993,2560.00
1803263.000,0.999658,19994,2925.71
1829887.000,0.999707,19995,3413.33
2076671.000,0.999756,19996,4096.00
2076671.000,0.999780,19996,4551.11
2390015.000,0.999805,19997,5120.00
2390015.000,0.999829,19997,5851.43
2607103.000,0.999854,19998,6826.67
2607103.000,0.999878,19998,8192.00
2607103.000,0.999890,19998,9102.22
3035135.000,0.999902,19999,10240.00
3035135.000,0.999915,19999,11702.86
3035135.000,0.999927,19999,13653.33
3035135.000,0.999939,19999,16384.00
3035135.000,0.999945,19999,18204.44
3104767.000,0.999951,20000,20480.00
3104767.000,1.000000,20000,inf
