Value,Percentile,TotalCount,1/(1-Percentile)
32159.000,0.000000,1,1.00
44031.000,0.100000,2165,1.11
44255.000,0.200000,4186,1.25
44415.000,0.300000,6260,1.43
44543.000,0.400000,8296,1.67
44671.000,0.500000,10196,2.00
44735.000,0.550000,11012,2.22
44831.000,0.600000,12109,2.50
44927.000,0.650000,13106,2.86
45055.000,0.700000,14262,3.33
45151.000,0.750000,15056,4.00
45247.000,0.775000,15582,4.44
45375.000,0.800000,16053,5.00
45535.000,0.825000,16518,5.71
45823.000,0.850000,17055,6.67
46207.000,0.875000,17515,8.00
46431.000,0.887500,17756,8.89
46719.000,0.900000,18014,10.00
47039.000,0.912500,18260,11.43
47359.000,0.925000,18503,13.33
47679.000,0.937500,18768,16.00
47807.000,0.943750,18885,17.78
47999.000,0.950000,19013,20.00
48159.000,0.956250,19129,22.86
48351.000,0.962500,19250,26.67
48639.000,0.968750,19385,32.00
48863.000,0.971875,19447,35.56
49247.000,0.975000,19501,40.00
49759.000,0.978125,19566,45.71
50431.000,0.981250,19627,53.33
51967.000,0.984375,19688,64.00
53503.000,0.985938,19719,71.11
55679.000,0.987500,19751,80.00
59967.000,0.989062,19782,91.43
207487.000,0.990625,19813,106.67
270591.000,0.992188,19845,128.00
298495.000,0.992969,19860,142.22
316671.000,0.993750,19875,160.00
367871.000,0.994531,19891,182.86
388607.000,0.995313,19907,213.33
407807.000,0.996094,19922,256.00
417535.000,0.996484,19931,284.44
419327.000,0.996875,19938,320.00
421631.000,0.997266,19946,365.71
460287.000,0.997656,19954,426.67
498943.000,0.998047,19961,512.00
543231.000,0.998242,19965,568.89
549375.000,0.998437,19969,640.00
677375.000,0.998633,19973,731.43
680959.000,0.998828,19978,853.33
684031.000,0.999023,19981,1024.00
685567.000,0.999121,19983,1137.78
755711.000,0.999219,19985,1280.00
758271.000,0.999316,19987,1462.86
759807.000,0.999414,19989,1706.67
762879.000,0.999512,19991,2048.00
767487.000,0.999561,19992,2275.56
778239.000,0.999609,19993,2560.00
779775.000,0.999658,19994,2925.71
780287.000,0.999707,19995,3413.33
796671.000,0.999756,19996,4096.00
796671.000,0.999780,19996,4551.11
797695.000,0.999805,19997,5120.00
797695.000,0.999829,19997,5851.43
798719.000,0.999854,19998,6826.67
798719.000,0.999878,19998,8192.00
798719.000,0.999890,19998,9102.22
801791.000,0.999902,19999,10240.00
801791.000,0.999915,19999,11702.86
801791.000,0.999927,19999,13653.33
801791.000,0.999939,19999,16384.00
801791.000,0.999945,19999,18204.44
802303.000,0.999951,20000,20480.00
802303.000,1.000000,20000,inf
