Value,Percentile,TotalCount,1/(1-Percentile)
10151.000,0.000000,1,1.00
13399.000,0.100000,2035,1.11
13591.000,0.200000,4004,1.25
13759.000,0.300000,6076,1.43
13927.000,0.400000,8055,1.67
14175.000,0.500000,10025,2.00
14375.000,0.550000,11028,2.22
14679.000,0.600000,12010,2.50
15143.000,0.650000,13000,2.86
15775.000,0.700000,14008,3.33
16751.000,0.750000,15001,4.00
17391.000,0.775000,15512,4.44
18143.000,0.800000,16001,5.00
19135.000,0.825000,16505,5.71
20207.000,0.850000,17007,6.67
21119.000,0.875000,17502,8.00
21631.000,0.887500,17761,8.89
22015.000,0.900000,18000,10.00
22447.000,0.912500,18251,11.43
22879.000,0.925000,18502,13.33
23247.000,0.937500,18750,16.00
23439.000,0.943750,18891,17.78
23615.000,0.950000,19006,20.00
23871.000,0.956250,19134,22.86
24063.000,0.962500,19251,26.67
24415.000,0.968750,19375,32.00
24575.000,0.971875,19445,35.56
24783.000,0.975000,19502,40.00
25023.000,0.978125,19570,45.71
25295.000,0.981250,19627,53.33
25599.000,0.984375,19690,64.00
25839.000,0.985938,19720,71.11
26159.000,0.987500,19751,80.00
26511.000,0.989062,19782,91.43
27039.000,0.990625,19813,106.67
28143.000,0.992188,19845,128.00
29327.000,0.992969,19860,142.22
34847.000,0.993750,19875,160.00
64063.000,0.994531,19891,182.86
196991.000,0.995313,19907,213.33
225663.000,0.996094,19923,256.00
230527.000,0.996484,19930,284.44
237823.000,0.996875,19938,320.00
245631.000,0.997266,19946,365.71
269311.000,0.997656,19954,426.67
292607.000,0.998047,19961,512.00
297215.000,0.998242,19965,568.89
312063.000,0.998437,19969,640.00
337151.000,0.998633,19973,731.43
367103.000,0.998828,19978,853.33
367871.000,0.999023,19981,1024.00
368639.000,0.999121,19983,1137.78
369663.000,0.999219,19986,1280.00
370175.000,0.999316,19987,1462.86
379647.000,0.999414,19989,1706.67
382207.000,0.999512,19991,2048.00
392191.000,0.999561,19992,2275.56
402431.000,0.999609,19993,2560.00
405503.000,0.999658,19994,2925.71
413695.000,0.999707,19995,3413.33
417535.000,0.999756,19996,4096.00
417535.000,0.999780,19996,4551.11
422399.000,0.999805,19997,5120.00
422399.000,0.999829,19997,5851.43
423935.000,0.999854,19998,6826.67
423935.000,0.999878,19998,8192.00
423935.000,0.999890,19998,9102.22
440319.000,0.999902,19999,10240.00
440319.000,0.999915,19999,11702.86
440319.000,0.999927,19999,13653.33
440319.000,0.999939,19999,16384.00
440319.000,0.999945,19999,18204.44
540671.000,0.999951,20000,20480.00
540671.000,1.000000,20000,inf
