Value,Percentile,TotalCount,1/(1-Percentile)
16303.000,0.000000,1,1.00
17247.000,0.100000,2148,1.11
17423.000,0.200000,4192,1.25
17567.000,0.300000,6008,1.43
17727.000,0.400000,8081,1.67
17871.000,0.500000,10181,2.00
17935.000,0.550000,11151,2.22
17999.000,0.600000,12103,2.50
18063.000,0.650000,13004,2.86
18143.000,0.700000,14083,3.33
18223.000,0.750000,15006,4.00
18271.000,0.775000,15519,4.44
18335.000,0.800000,16146,5.00
18383.000,0.825000,16557,5.71
18447.000,0.850000,17015,6.67
18527.000,0.875000,17558,8.00
18575.000,0.887500,17816,8.89
18623.000,0.900000,18035,10.00
18687.000,0.912500,18289,11.43
18767.000,0.925000,18522,13.33
18879.000,0.937500,18783,16.00
18943.000,0.943750,18897,17.78
19023.000,0.950000,19004,20.00
19151.000,0.956250,19137,22.86
19327.000,0.962500,19257,26.67
19535.000,0.968750,19377,32.00
19679.000,0.971875,19440,35.56
19855.000,0.975000,19500,40.00
20111.000,0.978125,19567,45.71
20463.000,0.981250,19626,53.33
20895.000,0.984375,19691,64.00
21023.000,0.985938,19721,71.11
21183.000,0.987500,19750,80.00
21423.000,0.989062,19782,91.43
21679.000,0.990625,19813,106.67
21951.000,0.992188,19844,128.00
22111.000,0.992969,19860,142.22
22383.000,0.993750,19875,160.00
23391.000,0.994531,19891,182.86
226815.000,0.995313,19908,213.33
229503.000,0.996094,19922,256.00
335615.000,0.996484,19930,284.44
345343.000,0.996875,19938,320.00
351231.000,0.997266,19946,365.71
419071.000,0.997656,19954,426.67
423679.000,0.998047,19961,512.00
424447.000,0.998242,19968,568.89
424703.000,0.998437,19969,640.00
426239.000,0.998633,19973,731.43
560639.000,0.998828,19977,853.33
675839.000,0.999023,19981,1024.00
676351.000,0.999121,19984,1137.78
676863.000,0.999219,19986,1280.00
677375.000,0.999316,19987,1462.86
677887.000,0.999414,19990,1706.67
678399.000,0.999512,19991,2048.00
678911.000,0.999561,19994,2275.56
678911.000,0.999609,19994,2560.00
678911.000,0.999658,19994,2925.71
679423.000,0.999707,19996,3413.33
679423.000,0.999756,19996,4096.00
679423.000,0.999780,19996,4551.11
679935.000,0.999805,19997,5120.00
679935.000,0.999829,19997,5851.43
680447.000,0.999854,19999,6826.67
680447.000,0.999878,19999,8192.00
680447.000,0.999890,19999,9102.22
680447.000,0.999902,19999,10240.00
680447.000,0.999915,19999,11702.86
680447.000,0.999927,19999,13653.33
680447.000,0.999939,19999,16384.00
680447.000,0.999945,19999,18204.44
681471.000,0.999951,20000,20480.00
681471.000,1.000000,20000,inf
