Value,Percentile,TotalCount,1/(1-Percentile)
5379.000,0.000000,1,1.00
5683.000,0.100000,2029,1.11
5751.000,0.200000,4152,1.25
5799.000,0.300000,6035,1.43
5847.000,0.400000,8083,1.67
5895.000,0.500000,10087,2.00
5923.000,0.550000,11099,2.22
5951.000,0.600000,12088,2.50
5983.000,0.650000,13126,2.86
6019.000,0.700000,14091,3.33
6059.000,0.750000,15049,4.00
6083.000,0.775000,15500,4.44
6111.000,0.800000,16004,5.00
6147.000,0.825000,16508,5.71
6183.000,0.850000,17005,6.67
6231.000,0.875000,17511,8.00
6263.000,0.887500,17771,8.89
6299.000,0.900000,18008,10.00
6343.000,0.912500,18261,11.43
6395.000,0.925000,18507,13.33
6471.000,0.937500,18760,16.00
6519.000,0.943750,18879,17.78
6579.000,0.950000,19002,20.00
6671.000,0.956250,19129,22.86
6783.000,0.962500,19250,26.67
6959.000,0.968750,19376,32.00
7079.000,0.971875,19438,35.56
7251.000,0.975000,19500,40.00
7599.000,0.978125,19563,45.71
7999.000,0.981250,19626,53.33
8479.000,0.984375,19688,64.00
8695.000,0.985938,19720,71.11
8879.000,0.987500,19750,80.00
9023.000,0.989062,19783,91.43
9231.000,0.990625,19813,106.67
9383.000,0.992188,19844,128.00
9463.000,0.992969,19860,142.22
9559.000,0.993750,19875,160.00
9687.000,0.994531,19893,182.86
9815.000,0.995313,19907,213.33
10223.000,0.996094,19922,256.00
11375.000,0.996484,19930,284.44
13591.000,0.996875,19938,320.00
19999.000,0.997266,19946,365.71
25839.000,0.997656,19954,426.67
167551.000,0.998047,19962,512.00
211455.000,0.998242,19965,568.89
212607.000,0.998437,19969,640.00
220927.000,0.998633,19973,731.43
222975.000,0.998828,19977,853.33
225535.000,0.999023,19981,1024.00
225791.000,0.999121,19983,1137.78
226815.000,0.999219,19985,1280.00
320255.000,0.999316,19987,1462.86
321023.000,0.999414,19989,1706.67
323327.000,0.999512,19991,2048.00
324607.000,0.999561,19992,2275.56
364031.000,0.999609,19993,2560.00
368639.000,0.999658,19994,2925.71
369919.000,0.999707,19995,3413.33
372479.000,0.999756,19996,4096.00
372479.000,0.999780,19996,4551.11
379391.000,0.999805,19997,5120.00
379391.000,0.999829,19997,5851.43
381439.000,0.999854,19998,6826.67
381439.000,0.999878,19998,8192.00
381439.000,0.999890,19998,9102.22
503295.000,0.999902,19999,10240.00
503295.000,0.999915,19999,11702.86
503295.000,0.999927,19999,13653.33
503295.000,0.999939,19999,16384.00
503295.000,0.999945,19999,18204.44
510207.000,0.999951,20000,20480.00
510207.000,1.000000,20000,inf
