Value,Percentile,TotalCount,1/(1-Percentile)
3081.000,0.000000,1,1.00
3697.000,0.100000,2004,1.11
3733.000,0.200000,4063,1.25
3757.000,0.300000,6057,1.43
3779.000,0.400000,8036,1.67
3801.000,0.500000,10101,2.00
3811.000,0.550000,11105,2.22
3821.000,0.600000,12115,2.50
3831.000,0.650000,13095,2.86
3843.000,0.700000,14138,3.33
3855.000,0.750000,15063,4.00
3861.000,0.775000,15502,4.44
3871.000,0.800000,16090,5.00
3881.000,0.825000,16574,5.71
3891.000,0.850000,17001,6.67
3907.000,0.875000,17530,8.00
3915.000,0.887500,17818,8.89
3923.000,0.900000,18054,10.00
3931.000,0.912500,18257,11.43
3945.000,0.925000,18533,13.33
3961.000,0.937500,18755,16.00
3975.000,0.943750,18879,17.78
3997.000,0.950000,19001,20.00
4051.000,0.956250,19127,22.86
4131.000,0.962500,19257,26.67
4247.000,0.968750,19377,32.00
4295.000,0.971875,19442,35.56
4339.000,0.975000,19507,40.00
4375.000,0.978125,19567,45.71
4427.000,0.981250,19626,53.33
4627.000,0.984375,19690,64.00
5355.000,0.985938,19719,71.11
5907.000,0.987500,19750,80.00
6467.000,0.989062,19782,91.43
6831.000,0.990625,19814,106.67
7079.000,0.992188,19844,128.00
7199.000,0.992969,19860,142.22
7259.000,0.993750,19875,160.00
7379.000,0.994531,19891,182.86
7463.000,0.995313,19907,213.33
7639.000,0.996094,19922,256.00
7863.000,0.996484,19930,284.44
8135.000,0.996875,19938,320.00
8623.000,0.997266,19946,365.71
8951.000,0.997656,19954,426.67
9103.000,0.998047,19961,512.00
9311.000,0.998242,19965,568.89
11415.000,0.998437,19969,640.00
15303.000,0.998633,19973,731.43
170623.000,0.998828,19977,853.33
171263.000,0.999023,19981,1024.00
171903.000,0.999121,19983,1137.78
173055.000,0.999219,19985,1280.00
241663.000,0.999316,19987,1462.86
242815.000,0.999414,19989,1706.67
317439.000,0.999512,19991,2048.00
318719.000,0.999561,19992,2275.56
321535.000,0.999609,19993,2560.00
322559.000,0.999658,19994,2925.71
325119.000,0.999707,19995,3413.33
377599.000,0.999756,19996,4096.00
377599.000,0.999780,19996,4551.11
378111.000,0.999805,19997,5120.00
378111.000,0.999829,19997,5851.43
379391.000,0.999854,19998,6826.67
379391.000,0.999878,19998,8192.00
379391.000,0.999890,19998,9102.22
379903.000,0.999902,19999,10240.00
379903.000,0.999915,19999,11702.86
379903.000,0.999927,19999,13653.33
379903.000,0.999939,19999,16384.00
379903.000,0.999945,19999,18204.44
380415.000,0.999951,20000,20480.00
380415.000,1.000000,20000,inf
