Value,Percentile,TotalCount,1/(1-Percentile)
7335.000,0.000000,1,1.00
7819.000,0.100000,2013,1.11
7863.000,0.200000,4133,1.25
7895.000,0.300000,6038,1.43
7927.000,0.400000,8042,1.67
7959.000,0.500000,10075,2.00
7975.000,0.550000,11026,2.22
7995.000,0.600000,12046,2.50
8011.000,0.650000,13100,2.86
8035.000,0.700000,14098,3.33
8071.000,0.750000,15022,4.00
8099.000,0.775000,15538,4.44
8127.000,0.800000,16027,5.00
8159.000,0.825000,16518,5.71
8207.000,0.850000,17042,6.67
8271.000,0.875000,17527,8.00
8295.000,0.887500,17766,8.89
8327.000,0.900000,18056,10.00
8359.000,0.912500,18287,11.43
8391.000,0.925000,18513,13.33
8431.000,0.937500,18780,16.00
8447.000,0.943750,18899,17.78
8463.000,0.950000,19003,20.00
8487.000,0.956250,19130,22.86
8527.000,0.962500,19260,26.67
8583.000,0.968750,19380,32.00
8631.000,0.971875,19442,35.56
8703.000,0.975000,19505,40.00
8919.000,0.978125,19564,45.71
9591.000,0.981250,19625,53.33
10279.000,0.984375,19689,64.00
10559.000,0.985938,19719,71.11
10855.000,0.987500,19750,80.00
11135.000,0.989062,19782,91.43
11287.000,0.990625,19818,106.67
11447.000,0.992188,19845,128.00
11543.000,0.992969,19863,142.22
11639.000,0.993750,19875,160.00
11775.000,0.994531,19892,182.86
11951.000,0.995313,19907,213.33
14031.000,0.996094,19922,256.00
19615.000,0.996484,19930,284.44
35487.000,0.996875,19938,320.00
159359.000,0.997266,19946,365.71
160255.000,0.997656,19954,426.67
219135.000,0.998047,19961,512.00
220031.000,0.998242,19965,568.89
257151.000,0.998437,19969,640.00
259455.000,0.998633,19973,731.43
262911.000,0.998828,19977,853.33
361983.000,0.999023,19981,1024.00
364287.000,0.999121,19983,1137.78
365311.000,0.999219,19985,1280.00
366591.000,0.999316,19987,1462.86
368383.000,0.999414,19989,1706.67
506879.000,0.999512,19991,2048.00
507391.000,0.999561,19992,2275.56
507647.000,0.999609,19993,2560.00
507903.000,0.999658,19994,2925.71
508159.000,0.999707,19995,3413.33
509183.000,0.999756,19996,4096.00
509183.000,0.999780,19996,4551.11
510207.000,0.999805,19997,5120.00
510207.000,0.999829,19997,5851.43
510463.000,0.999854,19998,6826.67
510463.000,0.999878,19998,8192.00
510463.000,0.999890,19998,9102.22
511743.000,0.999902,19999,10240.00
511743.000,0.999915,19999,11702.86
511743.000,0.999927,19999,13653.33
511743.000,0.999939,19999,16384.00
511743.000,0.999945,19999,18204.44
512255.000,0.999951,20000,20480.00
512255.000,1.000000,20000,inf
