# Latency Sweep Summary

| dataset | trees | family | p50 us | p99 us | mean us | best config |
|---|---:|---|---:|---:|---:|---|
| epsilon | 500 | FIL GPU | 275.455 | 731.647 | 301.968 | `fil/gpu/input:device/output:device_sync` |
| epsilon | 500 | Treelite | 34.623 | 49.887 | 35.466 | `treelite/tl2cgen-lib/threads:4` |
| epsilon | 500 | XGBoost sklearn | 162.559 | 270.079 | 175.602 | `xgboost/sklearn/threads:4/output:margin` |
| epsilon | 500 | qleaf CPU bitmask | 12.527 | 15.839 | 12.861 | `qleaf/cpu/compact/bitmask/threads:16` |
| epsilon | 500 | qleaf CPU traversal | 1.559 | 2.291 | 1.619 | `qleaf/cpu/compact/branch/threads:16` |
| epsilon | 500 | qleaf GPU bitmask | 7.187 | 12.791 | 8.789 | `qleaf/gpu/persistent/compact/bt:1024/transposed:0/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0/tpt:32` |
| epsilon | 500 | qleaf GPU traversal SP | 7.815 | 13.431 | 8.536 | `qleaf/gpu/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0` |
| epsilon | 1000 | FIL GPU | 284.671 | 790.015 | 303.835 | `fil/gpu/input:device/output:device_sync` |
| epsilon | 1000 | Treelite | 65.727 | 92.927 | 66.790 | `treelite/tl2cgen-lib/threads:2` |
| epsilon | 1000 | XGBoost sklearn | 200.959 | 312.831 | 213.361 | `xgboost/sklearn/threads:8/output:margin` |
| epsilon | 1000 | qleaf CPU bitmask | 23.471 | 29.423 | 23.727 | `qleaf/cpu/compact/bitmask/threads:16` |
| epsilon | 1000 | qleaf CPU traversal | 2.399 | 3.207 | 2.481 | `qleaf/cpu/compact/branch/threads:16` |
| epsilon | 1000 | qleaf GPU bitmask | 7.619 | 13.879 | 8.762 | `qleaf/gpu/persistent/compact/bt:1024/transposed:0/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0/tpt:16` |
