Value,Percentile,TotalCount,1/(1-Percentile)
109055.000,0.000000,1,1.00
115071.000,0.100000,210,1.11
116095.000,0.200000,409,1.25
116799.000,0.300000,607,1.43
117439.000,0.400000,800,1.67
118079.000,0.500000,1018,2.00
118463.000,0.550000,1118,2.22
118783.000,0.600000,1214,2.50
119167.000,0.650000,1305,2.86
119615.000,0.700000,1409,3.33
120127.000,0.750000,1505,4.00
120383.000,0.775000,1559,4.44
120639.000,0.800000,1600,5.00
120959.000,0.825000,1656,5.71
121279.000,0.850000,1707,6.67
121599.000,0.875000,1754,8.00
121791.000,0.887500,1779,8.89
122047.000,0.900000,1807,10.00
122239.000,0.912500,1835,11.43
122367.000,0.925000,1851,13.33
122751.000,0.937500,1875,16.00
122943.000,0.943750,1889,17.78
123263.000,0.950000,1901,20.00
123583.000,0.956250,1917,22.86
123839.000,0.962500,1925,26.67
124351.000,0.968750,1938,32.00
124735.000,0.971875,1945,35.56
125567.000,0.975000,1950,40.00
126079.000,0.978125,1957,45.71
126719.000,0.981250,1965,53.33
127807.000,0.984375,1969,64.00
128383.000,0.985938,1972,71.11
129535.000,0.987500,1976,80.00
132479.000,0.989062,1979,91.43
132735.000,0.990625,1982,106.67
136959.000,0.992188,1985,128.00
137471.000,0.992969,1986,142.22
138367.000,0.993750,1988,160.00
139775.000,0.994531,1991,182.86
139775.000,0.995313,1991,213.33
142591.000,0.996094,1993,256.00
142591.000,0.996484,1993,284.44
143231.000,0.996875,1994,320.00
144127.000,0.997266,1995,365.71
144511.000,0.997656,1996,426.67
147455.000,0.998047,1997,512.00
147455.000,0.998242,1997,568.89
147455.000,0.998437,1997,640.00
148735.000,0.998633,1998,731.43
148735.000,0.998828,1998,853.33
149887.000,0.999023,1999,1024.00
149887.000,0.999121,1999,1137.78
149887.000,0.999219,1999,1280.00
149887.000,0.999316,1999,1462.86
149887.000,0.999414,1999,1706.67
219775.000,0.999512,2000,2048.00
219775.000,1.000000,2000,inf
