Value,Percentile,TotalCount,1/(1-Percentile)
8655.000,0.000000,1,1.00
9215.000,0.100000,200,1.11
9855.000,0.200000,402,1.25
10303.000,0.300000,604,1.43
10511.000,0.400000,803,1.67
10679.000,0.500000,1001,2.00
10767.000,0.550000,1102,2.22
10847.000,0.600000,1203,2.50
10927.000,0.650000,1302,2.86
11023.000,0.700000,1400,3.33
11143.000,0.750000,1502,4.00
11223.000,0.775000,1552,4.44
11343.000,0.800000,1600,5.00
11519.000,0.825000,1651,5.71
11791.000,0.850000,1700,6.67
12183.000,0.875000,1750,8.00
12551.000,0.887500,1775,8.89
12895.000,0.900000,1801,10.00
13463.000,0.912500,1825,11.43
13983.000,0.925000,1850,13.33
14519.000,0.937500,1875,16.00
14815.000,0.943750,1888,17.78
15079.000,0.950000,1900,20.00
15431.000,0.956250,1913,22.86
15847.000,0.962500,1925,26.67
16231.000,0.968750,1938,32.00
16607.000,0.971875,1944,35.56
17311.000,0.975000,1950,40.00
18383.000,0.978125,1957,45.71
21503.000,0.981250,1963,53.33
22911.000,0.984375,1969,64.00
23391.000,0.985938,1972,71.11
26111.000,0.987500,1975,80.00
29167.000,0.989062,1979,91.43
34655.000,0.990625,1982,106.67
36703.000,0.992188,1985,128.00
37055.000,0.992969,1986,142.22
37567.000,0.993750,1988,160.00
38815.000,0.994531,1990,182.86
40639.000,0.995313,1991,213.33
165375.000,0.996094,1993,256.00
165375.000,0.996484,1993,284.44
172671.000,0.996875,1994,320.00
219263.000,0.997266,1995,365.71
231679.000,0.997656,1996,426.67
250111.000,0.998047,1997,512.00
250111.000,0.998242,1997,568.89
250111.000,0.998437,1997,640.00
259455.000,0.998633,1998,731.43
259455.000,0.998828,1998,853.33
455935.000,0.999023,1999,1024.00
455935.000,0.999121,1999,1137.78
455935.000,0.999219,1999,1280.00
455935.000,0.999316,1999,1462.86
455935.000,0.999414,1999,1706.67
535551.000,0.999512,2000,2048.00
535551.000,1.000000,2000,inf
