Value,Percentile,TotalCount,1/(1-Percentile)
258431.000,0.000000,1,1.00
272895.000,0.100000,202,1.11
276479.000,0.200000,411,1.25
279295.000,0.300000,603,1.43
281343.000,0.400000,823,1.67
283135.000,0.500000,1016,2.00
284159.000,0.550000,1123,2.22
284927.000,0.600000,1209,2.50
286207.000,0.650000,1318,2.86
287743.000,0.700000,1412,3.33
289279.000,0.750000,1507,4.00
290303.000,0.775000,1556,4.44
291583.000,0.800000,1600,5.00
292863.000,0.825000,1655,5.71
294143.000,0.850000,1700,6.67
295679.000,0.875000,1752,8.00
296703.000,0.887500,1781,8.89
297983.000,0.900000,1801,10.00
299519.000,0.912500,1828,11.43
301311.000,0.925000,1852,13.33
302847.000,0.937500,1876,16.00
303871.000,0.943750,1889,17.78
305151.000,0.950000,1900,20.00
306943.000,0.956250,1916,22.86
308991.000,0.962500,1926,26.67
311807.000,0.968750,1938,32.00
313343.000,0.971875,1944,35.56
315647.000,0.975000,1950,40.00
318207.000,0.978125,1957,45.71
320767.000,0.981250,1964,53.33
321535.000,0.984375,1969,64.00
323327.000,0.985938,1974,71.11
323839.000,0.987500,1976,80.00
326655.000,0.989062,1980,91.43
327167.000,0.990625,1982,106.67
328191.000,0.992188,1985,128.00
328447.000,0.992969,1986,142.22
329215.000,0.993750,1989,160.00
329727.000,0.994531,1990,182.86
329983.000,0.995313,1991,213.33
333567.000,0.996094,1993,256.00
333567.000,0.996484,1993,284.44
335359.000,0.996875,1995,320.00
335359.000,0.997266,1995,365.71
335615.000,0.997656,1996,426.67
335871.000,0.998047,1997,512.00
335871.000,0.998242,1997,568.89
335871.000,0.998437,1997,640.00
339967.000,0.998633,1998,731.43
339967.000,0.998828,1998,853.33
350463.000,0.999023,1999,1024.00
350463.000,0.999121,1999,1137.78
350463.000,0.999219,1999,1280.00
350463.000,0.999316,1999,1462.86
350463.000,0.999414,1999,1706.67
355327.000,0.999512,2000,2048.00
355327.000,1.000000,2000,inf
