Value,Percentile,TotalCount,1/(1-Percentile)
14735.000,0.000000,1,1.00
15183.000,0.100000,203,1.11
15311.000,0.200000,400,1.25
15447.000,0.300000,604,1.43
15559.000,0.400000,800,1.67
15679.000,0.500000,1014,2.00
15727.000,0.550000,1108,2.22
15767.000,0.600000,1207,2.50
15831.000,0.650000,1307,2.86
15895.000,0.700000,1411,3.33
15983.000,0.750000,1503,4.00
16023.000,0.775000,1554,4.44
16079.000,0.800000,1606,5.00
16151.000,0.825000,1653,5.71
16231.000,0.850000,1700,6.67
16343.000,0.875000,1752,8.00
16447.000,0.887500,1776,8.89
16575.000,0.900000,1800,10.00
16735.000,0.912500,1826,11.43
17135.000,0.925000,1850,13.33
17775.000,0.937500,1875,16.00
18223.000,0.943750,1888,17.78
18575.000,0.950000,1900,20.00
19183.000,0.956250,1913,22.86
19887.000,0.962500,1925,26.67
20831.000,0.968750,1938,32.00
21663.000,0.971875,1945,35.56
22191.000,0.975000,1950,40.00
23407.000,0.978125,1957,45.71
25167.000,0.981250,1963,53.33
28303.000,0.984375,1969,64.00
28959.000,0.985938,1972,71.11
31215.000,0.987500,1975,80.00
34783.000,0.989062,1979,91.43
39903.000,0.990625,1982,106.67
43167.000,0.992188,1985,128.00
44831.000,0.992969,1986,142.22
173567.000,0.993750,1988,160.00
185727.000,0.994531,1990,182.86
220031.000,0.995313,1991,213.33
227199.000,0.996094,1993,256.00
227199.000,0.996484,1993,284.44
245247.000,0.996875,1994,320.00
247423.000,0.997266,1995,365.71
264447.000,0.997656,1996,426.67
264959.000,0.998047,1997,512.00
264959.000,0.998242,1997,568.89
264959.000,0.998437,1997,640.00
294399.000,0.998633,1998,731.43
294399.000,0.998828,1998,853.33
334335.000,0.999023,1999,1024.00
334335.000,0.999121,1999,1137.78
334335.000,0.999219,1999,1280.00
334335.000,0.999316,1999,1462.86
334335.000,0.999414,1999,1706.67
411903.000,0.999512,2000,2048.00
411903.000,1.000000,2000,inf
