name,status,count,p50_ns,p90_ns,p99_ns,p99_9_ns,mean_ns,max_ns,reason
"qleaf/cpu/compact/branch/nothread",ok,2000,4659,5095,9295,18559,4818.36,29759,""
"qleaf/cpu/compact/bitmask/nothread",ok,2000,118591,122687,135295,148735,118853,151295,""
"qleaf/cpu/compact/branch/threads:1",ok,2000,10487,11359,13271,28335,9449.06,104127,""
"qleaf/cpu/compact/bitmask/threads:1",ok,2000,117119,121279,137983,154367,117704,157695,""
"qleaf/cpu/compact/branch/threads:2",ok,2000,5607,6247,7003,24063,4821.4,96127,""
"qleaf/cpu/compact/bitmask/threads:2",ok,2000,68415,70719,82495,101055,68824.8,161407,""
"qleaf/cpu/compact/branch/threads:4",ok,2000,3123,3441,3755,7187,3187.44,7763,""
"qleaf/cpu/compact/bitmask/threads:4",ok,2000,31711,32527,34847,54783,31908.6,151423,""
"qleaf/cpu/compact/branch/threads:8",ok,2000,1972,2265,2583,5947,2003.44,6475,""
"qleaf/cpu/compact/bitmask/threads:8",ok,2000,17903,19071,23391,35423,18046.9,44447,""
"qleaf/cpu/compact/branch/threads:16",ok,2000,1559,1794,2291,10735,1619.35,15879,""
"qleaf/cpu/compact/bitmask/threads:16",ok,2000,12527,12863,15839,78079,12860.9,223231,""
"qleaf/gpu/persistent/compact/bt:256/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:0/seqflag:1",skipped,0,0,0,0,0,0,0,"CUDA unavailable"
"qleaf/gpu/persistent/compact/bt:256/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1",skipped,0,0,0,0,0,0,0,"CUDA unavailable"
"qleaf/gpu/persistent/compact/bt:256/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0",skipped,0,0,0,0,0,0,0,"CUDA unavailable"
"qleaf/gpu/persistent/compact/bt:256/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/tpt:1",skipped,0,0,0,0,0,0,0,"CUDA unavailable"
"qleaf/gpu/persistent/compact/bt:256/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0/tpt:1",skipped,0,0,0,0,0,0,0,"CUDA unavailable"
