Value,Percentile,TotalCount,1/(1-Percentile)
63935.000,0.000000,2,1.00
66367.000,0.100000,201,1.11
70463.000,0.200000,407,1.25
71103.000,0.300000,609,1.43
71551.000,0.400000,814,1.67
72063.000,0.500000,1000,2.00
72447.000,0.550000,1110,2.22
73023.000,0.600000,1208,2.50
73791.000,0.650000,1301,2.86
75007.000,0.700000,1406,3.33
77375.000,0.750000,1500,4.00
78975.000,0.775000,1551,4.44
81279.000,0.800000,1601,5.00
84607.000,0.825000,1650,5.71
89983.000,0.850000,1700,6.67
99263.000,0.875000,1750,8.00
106431.000,0.887500,1775,8.89
114879.000,0.900000,1800,10.00
119167.000,0.912500,1825,11.43
126399.000,0.925000,1850,13.33
130943.000,0.937500,1875,16.00
134783.000,0.943750,1888,17.78
138111.000,0.950000,1900,20.00
140159.000,0.956250,1913,22.86
142975.000,0.962500,1925,26.67
147327.000,0.968750,1940,32.00
147839.000,0.971875,1944,35.56
148863.000,0.975000,1950,40.00
150143.000,0.978125,1957,45.71
151679.000,0.981250,1963,53.33
156159.000,0.984375,1969,64.00
156799.000,0.985938,1972,71.11
160255.000,0.987500,1975,80.00
164991.000,0.989062,1979,91.43
168831.000,0.990625,1982,106.67
172543.000,0.992188,1985,128.00
186495.000,0.992969,1986,142.22
208127.000,0.993750,1988,160.00
214015.000,0.994531,1990,182.86
214527.000,0.995313,1991,213.33
219135.000,0.996094,1993,256.00
219135.000,0.996484,1993,284.44
226047.000,0.996875,1994,320.00
226175.000,0.997266,1995,365.71
239871.000,0.997656,1996,426.67
244607.000,0.998047,1997,512.00
244607.000,0.998242,1997,568.89
244607.000,0.998437,1997,640.00
270847.000,0.998633,1998,731.43
270847.000,0.998828,1998,853.33
282879.000,0.999023,1999,1024.00
282879.000,0.999121,1999,1137.78
282879.000,0.999219,1999,1280.00
282879.000,0.999316,1999,1462.86
282879.000,0.999414,1999,1706.67
296447.000,0.999512,2000,2048.00
296447.000,1.000000,2000,inf
