Value,Percentile,TotalCount,1/(1-Percentile)
14215.000,0.000000,1,1.00
14671.000,0.100000,207,1.11
14783.000,0.200000,412,1.25
14879.000,0.300000,611,1.43
14975.000,0.400000,801,1.67
15111.000,0.500000,1000,2.00
15199.000,0.550000,1105,2.22
15295.000,0.600000,1200,2.50
15415.000,0.650000,1307,2.86
15519.000,0.700000,1406,3.33
15647.000,0.750000,1500,4.00
15727.000,0.775000,1555,4.44
15839.000,0.800000,1601,5.00
15967.000,0.825000,1651,5.71
16135.000,0.850000,1701,6.67
16447.000,0.875000,1751,8.00
16687.000,0.887500,1778,8.89
16911.000,0.900000,1800,10.00
17375.000,0.912500,1827,11.43
18047.000,0.925000,1850,13.33
19567.000,0.937500,1876,16.00
21279.000,0.943750,1888,17.78
23023.000,0.950000,1900,20.00
27487.000,0.956250,1913,22.86
30127.000,0.962500,1925,26.67
30383.000,0.968750,1940,32.00
30447.000,0.971875,1944,35.56
30559.000,0.975000,1950,40.00
30703.000,0.978125,1959,45.71
30767.000,0.981250,1964,53.33
30847.000,0.984375,1969,64.00
30943.000,0.985938,1972,71.11
31119.000,0.987500,1975,80.00
31359.000,0.989062,1979,91.43
31503.000,0.990625,1982,106.67
32143.000,0.992188,1985,128.00
33119.000,0.992969,1986,142.22
35487.000,0.993750,1988,160.00
38079.000,0.994531,1990,182.86
39295.000,0.995313,1991,213.33
39999.000,0.996094,1993,256.00
39999.000,0.996484,1993,284.44
40831.000,0.996875,1994,320.00
41471.000,0.997266,1995,365.71
43231.000,0.997656,1996,426.67
45951.000,0.998047,1997,512.00
45951.000,0.998242,1997,568.89
45951.000,0.998437,1997,640.00
46399.000,0.998633,1998,731.43
46399.000,0.998828,1998,853.33
81983.000,0.999023,1999,1024.00
81983.000,0.999121,1999,1137.78
81983.000,0.999219,1999,1280.00
81983.000,0.999316,1999,1462.86
81983.000,0.999414,1999,1706.67
115135.000,0.999512,2000,2048.00
115135.000,1.000000,2000,inf
