Value,Percentile,TotalCount,1/(1-Percentile)
5311.000,0.000000,2,1.00
5403.000,0.100000,201,1.11
5439.000,0.200000,409,1.25
5463.000,0.300000,610,1.43
5487.000,0.400000,800,1.67
5515.000,0.500000,1011,2.00
5531.000,0.550000,1116,2.22
5547.000,0.600000,1211,2.50
5567.000,0.650000,1305,2.86
5599.000,0.700000,1404,3.33
5651.000,0.750000,1502,4.00
5695.000,0.775000,1553,4.44
5763.000,0.800000,1602,5.00
5859.000,0.825000,1650,5.71
5979.000,0.850000,1700,6.67
6095.000,0.875000,1750,8.00
6195.000,0.887500,1777,8.89
6291.000,0.900000,1800,10.00
6427.000,0.912500,1825,11.43
6611.000,0.925000,1850,13.33
6783.000,0.937500,1875,16.00
6935.000,0.943750,1888,17.78
7027.000,0.950000,1901,20.00
7095.000,0.956250,1913,22.86
7187.000,0.962500,1925,26.67
7355.000,0.968750,1938,32.00
7423.000,0.971875,1946,35.56
7447.000,0.975000,1950,40.00
7583.000,0.978125,1957,45.71
7667.000,0.981250,1963,53.33
7739.000,0.984375,1969,64.00
7787.000,0.985938,1972,71.11
7835.000,0.987500,1975,80.00
8059.000,0.989062,1979,91.43
8183.000,0.990625,1982,106.67
8991.000,0.992188,1985,128.00
9095.000,0.992969,1986,142.22
10271.000,0.993750,1988,160.00
18703.000,0.994531,1990,182.86
19775.000,0.995313,1991,213.33
27759.000,0.996094,1993,256.00
27759.000,0.996484,1993,284.44
29951.000,0.996875,1994,320.00
30655.000,0.997266,1995,365.71
225151.000,0.997656,1996,426.67
288255.000,0.998047,1997,512.00
288255.000,0.998242,1997,568.89
288255.000,0.998437,1997,640.00
316671.000,0.998633,1998,731.43
316671.000,0.998828,1998,853.33
334591.000,0.999023,1999,1024.00
334591.000,0.999121,1999,1137.78
334591.000,0.999219,1999,1280.00
334591.000,0.999316,1999,1462.86
334591.000,0.999414,1999,1706.67
503807.000,0.999512,2000,2048.00
503807.000,1.000000,2000,inf
