Value,Percentile,TotalCount,1/(1-Percentile)
5703.000,0.000000,1,1.00
6351.000,0.100000,204,1.11
6487.000,0.200000,406,1.25
6555.000,0.300000,611,1.43
6619.000,0.400000,811,1.67
6691.000,0.500000,1016,2.00
6719.000,0.550000,1101,2.22
6763.000,0.600000,1206,2.50
6803.000,0.650000,1303,2.86
6851.000,0.700000,1408,3.33
6903.000,0.750000,1500,4.00
6931.000,0.775000,1551,4.44
6955.000,0.800000,1603,5.00
6991.000,0.825000,1651,5.71
7031.000,0.850000,1702,6.67
7075.000,0.875000,1752,8.00
7095.000,0.887500,1776,8.89
7127.000,0.900000,1800,10.00
7159.000,0.912500,1825,11.43
7219.000,0.925000,1850,13.33
7267.000,0.937500,1875,16.00
7311.000,0.943750,1888,17.78
7359.000,0.950000,1900,20.00
7427.000,0.956250,1913,22.86
7511.000,0.962500,1925,26.67
7587.000,0.968750,1938,32.00
7631.000,0.971875,1945,35.56
7667.000,0.975000,1950,40.00
7735.000,0.978125,1957,45.71
7907.000,0.981250,1963,53.33
8071.000,0.984375,1969,64.00
8279.000,0.985938,1973,71.11
8415.000,0.987500,1975,80.00
9103.000,0.989062,1979,91.43
9935.000,0.990625,1982,106.67
10247.000,0.992188,1985,128.00
10335.000,0.992969,1986,142.22
12487.000,0.993750,1988,160.00
14423.000,0.994531,1990,182.86
17311.000,0.995313,1991,213.33
31327.000,0.996094,1993,256.00
31327.000,0.996484,1993,284.44
32831.000,0.996875,1994,320.00
160639.000,0.997266,1995,365.71
160767.000,0.997656,1996,426.67
171903.000,0.998047,1997,512.00
171903.000,0.998242,1997,568.89
171903.000,0.998437,1997,640.00
214655.000,0.998633,1998,731.43
214655.000,0.998828,1998,853.33
257919.000,0.999023,1999,1024.00
257919.000,0.999121,1999,1137.78
257919.000,0.999219,1999,1280.00
257919.000,0.999316,1999,1462.86
257919.000,0.999414,1999,1706.67
436735.000,0.999512,2000,2048.00
436735.000,1.000000,2000,inf
