Value,Percentile,TotalCount,1/(1-Percentile)
289535.000,0.000000,1,1.00
432895.000,0.100000,201,1.11
463103.000,0.200000,400,1.25
480255.000,0.300000,603,1.43
496383.000,0.400000,807,1.67
505343.000,0.500000,1000,2.00
509951.000,0.550000,1100,2.22
514303.000,0.600000,1205,2.50
517375.000,0.650000,1303,2.86
519679.000,0.700000,1401,3.33
521727.000,0.750000,1514,4.00
522495.000,0.775000,1553,4.44
523519.000,0.800000,1606,5.00
524799.000,0.825000,1666,5.71
525823.000,0.850000,1703,6.67
527871.000,0.875000,1755,8.00
528895.000,0.887500,1786,8.89
529919.000,0.900000,1806,10.00
531455.000,0.912500,1830,11.43
532991.000,0.925000,1856,13.33
535039.000,0.937500,1876,16.00
537087.000,0.943750,1890,17.78
538623.000,0.950000,1901,20.00
541183.000,0.956250,1916,22.86
542719.000,0.962500,1925,26.67
545279.000,0.968750,1939,32.00
546815.000,0.971875,1944,35.56
548351.000,0.975000,1952,40.00
549887.000,0.978125,1957,45.71
553471.000,0.981250,1963,53.33
558079.000,0.984375,1969,64.00
559103.000,0.985938,1972,71.11
561151.000,0.987500,1977,80.00
565759.000,0.989062,1980,91.43
573439.000,0.990625,1983,106.67
577023.000,0.992188,1985,128.00
578047.000,0.992969,1986,142.22
581631.000,0.993750,1988,160.00
588287.000,0.994531,1990,182.86
590335.000,0.995313,1991,213.33
595455.000,0.996094,1995,256.00
595455.000,0.996484,1995,284.44
595455.000,0.996875,1995,320.00
595455.000,0.997266,1995,365.71
596991.000,0.997656,1996,426.67
601599.000,0.998047,1997,512.00
601599.000,0.998242,1997,568.89
601599.000,0.998437,1997,640.00
604159.000,0.998633,1998,731.43
604159.000,0.998828,1998,853.33
616447.000,0.999023,1999,1024.00
616447.000,0.999121,1999,1137.78
616447.000,0.999219,1999,1280.00
616447.000,0.999316,1999,1462.86
616447.000,0.999414,1999,1706.67
619519.000,0.999512,2000,2048.00
619519.000,1.000000,2000,inf
