Value,Percentile,TotalCount,1/(1-Percentile)
63487.000,0.000000,1,1.00
107327.000,0.100000,200,1.11
112511.000,0.200000,400,1.25
115391.000,0.300000,604,1.43
117055.000,0.400000,811,1.67
118015.000,0.500000,1000,2.00
118591.000,0.550000,1109,2.22
119231.000,0.600000,1210,2.50
119743.000,0.650000,1307,2.86
120319.000,0.700000,1403,3.33
121087.000,0.750000,1503,4.00
121407.000,0.775000,1553,4.44
121727.000,0.800000,1603,5.00
122111.000,0.825000,1659,5.71
122431.000,0.850000,1708,6.67
122751.000,0.875000,1755,8.00
122943.000,0.887500,1783,8.89
123135.000,0.900000,1804,10.00
123327.000,0.912500,1827,11.43
123647.000,0.925000,1857,13.33
123967.000,0.937500,1877,16.00
124223.000,0.943750,1888,17.78
124543.000,0.950000,1904,20.00
124735.000,0.956250,1916,22.86
125055.000,0.962500,1928,26.67
125311.000,0.968750,1939,32.00
125695.000,0.971875,1944,35.56
126079.000,0.975000,1951,40.00
126335.000,0.978125,1958,45.71
126591.000,0.981250,1963,53.33
127487.000,0.984375,1969,64.00
127679.000,0.985938,1972,71.11
128063.000,0.987500,1976,80.00
128831.000,0.989062,1980,91.43
133375.000,0.990625,1982,106.67
135807.000,0.992188,1986,128.00
135807.000,0.992969,1986,142.22
137599.000,0.993750,1988,160.00
138111.000,0.994531,1990,182.86
138623.000,0.995313,1991,213.33
139647.000,0.996094,1993,256.00
139647.000,0.996484,1993,284.44
140927.000,0.996875,1994,320.00
141311.000,0.997266,1995,365.71
142207.000,0.997656,1996,426.67
143103.000,0.998047,1997,512.00
143103.000,0.998242,1997,568.89
143103.000,0.998437,1997,640.00
146559.000,0.998633,1998,731.43
146559.000,0.998828,1998,853.33
150911.000,0.999023,1999,1024.00
150911.000,0.999121,1999,1137.78
150911.000,0.999219,1999,1280.00
150911.000,0.999316,1999,1462.86
150911.000,0.999414,1999,1706.67
154751.000,0.999512,2000,2048.00
154751.000,1.000000,2000,inf
