Value,Percentile,TotalCount,1/(1-Percentile)
59743.000,0.000000,1,1.00
61087.000,0.100000,201,1.11
61343.000,0.200000,412,1.25
61567.000,0.300000,610,1.43
61823.000,0.400000,822,1.67
62271.000,0.500000,1000,2.00
62623.000,0.550000,1103,2.22
62847.000,0.600000,1217,2.50
63071.000,0.650000,1305,2.86
63359.000,0.700000,1401,3.33
64479.000,0.750000,1500,4.00
65247.000,0.775000,1553,4.44
66687.000,0.800000,1602,5.00
67647.000,0.825000,1652,5.71
68351.000,0.850000,1704,6.67
69119.000,0.875000,1751,8.00
69439.000,0.887500,1780,8.89
69823.000,0.900000,1801,10.00
70143.000,0.912500,1827,11.43
70719.000,0.925000,1850,13.33
71359.000,0.937500,1875,16.00
72063.000,0.943750,1889,17.78
72511.000,0.950000,1900,20.00
73727.000,0.956250,1914,22.86
74431.000,0.962500,1926,26.67
75455.000,0.968750,1938,32.00
75967.000,0.971875,1944,35.56
77503.000,0.975000,1950,40.00
78271.000,0.978125,1958,45.71
78975.000,0.981250,1963,53.33
80703.000,0.984375,1969,64.00
81215.000,0.985938,1972,71.11
81919.000,0.987500,1975,80.00
82879.000,0.989062,1979,91.43
83583.000,0.990625,1982,106.67
84223.000,0.992188,1985,128.00
84543.000,0.992969,1987,142.22
84927.000,0.993750,1988,160.00
85823.000,0.994531,1990,182.86
85887.000,0.995313,1991,213.33
87231.000,0.996094,1993,256.00
87231.000,0.996484,1993,284.44
88639.000,0.996875,1994,320.00
89471.000,0.997266,1995,365.71
91007.000,0.997656,1996,426.67
92799.000,0.998047,1997,512.00
92799.000,0.998242,1997,568.89
92799.000,0.998437,1997,640.00
92863.000,0.998633,1998,731.43
92863.000,0.998828,1998,853.33
93695.000,0.999023,1999,1024.00
93695.000,0.999121,1999,1137.78
93695.000,0.999219,1999,1280.00
93695.000,0.999316,1999,1462.86
93695.000,0.999414,1999,1706.67
95039.000,0.999512,2000,2048.00
95039.000,1.000000,2000,inf
