Value,Percentile,TotalCount,1/(1-Percentile)
7667.000,0.000000,1,1.00
7927.000,0.100000,218,1.11
7947.000,0.200000,414,1.25
7963.000,0.300000,604,1.43
7983.000,0.400000,830,1.67
7999.000,0.500000,1039,2.00
8007.000,0.550000,1112,2.22
8019.000,0.600000,1211,2.50
8035.000,0.650000,1319,2.86
8051.000,0.700000,1431,3.33
8067.000,0.750000,1512,4.00
8079.000,0.775000,1565,4.44
8091.000,0.800000,1608,5.00
8103.000,0.825000,1657,5.71
8119.000,0.850000,1700,6.67
8143.000,0.875000,1751,8.00
8167.000,0.887500,1776,8.89
8231.000,0.900000,1802,10.00
8319.000,0.912500,1825,11.43
8759.000,0.925000,1850,13.33
9519.000,0.937500,1876,16.00
9663.000,0.943750,1888,17.78
9871.000,0.950000,1900,20.00
10071.000,0.956250,1913,22.86
10303.000,0.962500,1925,26.67
10607.000,0.968750,1938,32.00
10663.000,0.971875,1945,35.56
10751.000,0.975000,1950,40.00
10951.000,0.978125,1957,45.71
11167.000,0.981250,1964,53.33
11383.000,0.984375,1969,64.00
11655.000,0.985938,1972,71.11
11871.000,0.987500,1975,80.00
12199.000,0.989062,1979,91.43
12527.000,0.990625,1982,106.67
12687.000,0.992188,1985,128.00
12807.000,0.992969,1986,142.22
13095.000,0.993750,1988,160.00
13287.000,0.994531,1990,182.86
13535.000,0.995313,1991,213.33
14383.000,0.996094,1994,256.00
14383.000,0.996484,1994,284.44
14383.000,0.996875,1994,320.00
14455.000,0.997266,1995,365.71
14599.000,0.997656,1996,426.67
15327.000,0.998047,1997,512.00
15327.000,0.998242,1997,568.89
15327.000,0.998437,1997,640.00
20207.000,0.998633,1998,731.43
20207.000,0.998828,1998,853.33
24927.000,0.999023,1999,1024.00
24927.000,0.999121,1999,1137.78
24927.000,0.999219,1999,1280.00
24927.000,0.999316,1999,1462.86
24927.000,0.999414,1999,1706.67
32383.000,0.999512,2000,2048.00
32383.000,1.000000,2000,inf
