Value,Percentile,TotalCount,1/(1-Percentile)
20431.000,0.000000,1,1.00
22255.000,0.100000,2024,1.11
22495.000,0.200000,4161,1.25
22639.000,0.300000,6208,1.43
22751.000,0.400000,8173,1.67
22847.000,0.500000,10069,2.00
22895.000,0.550000,11120,2.22
22943.000,0.600000,12119,2.50
22991.000,0.650000,13059,2.86
23039.000,0.700000,14001,3.33
23103.000,0.750000,15146,4.00
23135.000,0.775000,15681,4.44
23167.000,0.800000,16159,5.00
23199.000,0.825000,16629,5.71
23231.000,0.850000,17002,6.67
23279.000,0.875000,17565,8.00
23311.000,0.887500,17856,8.89
23343.000,0.900000,18092,10.00
23375.000,0.912500,18317,11.43
23407.000,0.925000,18524,13.33
23471.000,0.937500,18801,16.00
23503.000,0.943750,18929,17.78
23535.000,0.950000,19024,20.00
23583.000,0.956250,19143,22.86
23663.000,0.962500,19274,26.67
23759.000,0.968750,19381,32.00
23855.000,0.971875,19440,35.56
24015.000,0.975000,19501,40.00
24207.000,0.978125,19563,45.71
24351.000,0.981250,19626,53.33
24511.000,0.984375,19693,64.00
24575.000,0.985938,19723,71.11
24639.000,0.987500,19751,80.00
24703.000,0.989062,19783,91.43
24783.000,0.990625,19814,106.67
24863.000,0.992188,19845,128.00
24927.000,0.992969,19866,142.22
24975.000,0.993750,19877,160.00
25071.000,0.994531,19892,182.86
25247.000,0.995313,19907,213.33
25391.000,0.996094,19923,256.00
25519.000,0.996484,19931,284.44
25727.000,0.996875,19940,320.00
26047.000,0.997266,19946,365.71
27055.000,0.997656,19954,426.67
29679.000,0.998047,19961,512.00
36447.000,0.998242,19965,568.89
38943.000,0.998437,19969,640.00
39839.000,0.998633,19973,731.43
40671.000,0.998828,19977,853.33
43391.000,0.999023,19981,1024.00
44063.000,0.999121,19983,1137.78
44415.000,0.999219,19985,1280.00
46335.000,0.999316,19987,1462.86
46751.000,0.999414,19989,1706.67
47231.000,0.999512,19991,2048.00
54527.000,0.999561,19992,2275.56
55135.000,0.999609,19993,2560.00
61855.000,0.999658,19994,2925.71
64223.000,0.999707,19995,3413.33
67071.000,0.999756,19996,4096.00
67071.000,0.999780,19996,4551.11
88895.000,0.999805,19997,5120.00
88895.000,0.999829,19997,5851.43
107007.000,0.999854,19998,6826.67
107007.000,0.999878,19998,8192.00
107007.000,0.999890,19998,9102.22
137471.000,0.999902,19999,10240.00
137471.000,0.999915,19999,11702.86
137471.000,0.999927,19999,13653.33
137471.000,0.999939,19999,16384.00
137471.000,0.999945,19999,18204.44
189311.000,0.999951,20000,20480.00
189311.000,1.000000,20000,inf
