Value,Percentile,TotalCount,1/(1-Percentile)
20047.000,0.000000,1,1.00
20751.000,0.100000,2077,1.11
20911.000,0.200000,4059,1.25
21039.000,0.300000,6169,1.43
21151.000,0.400000,8203,1.67
21263.000,0.500000,10175,2.00
21327.000,0.550000,11216,2.22
21391.000,0.600000,12122,2.50
21455.000,0.650000,13021,2.86
21551.000,0.700000,14149,3.33
21647.000,0.750000,15085,4.00
21711.000,0.775000,15612,4.44
21775.000,0.800000,16086,5.00
21855.000,0.825000,16526,5.71
21967.000,0.850000,17026,6.67
22143.000,0.875000,17534,8.00
22255.000,0.887500,17754,8.89
22447.000,0.900000,18012,10.00
22831.000,0.912500,18262,11.43
23151.000,0.925000,18510,13.33
23439.000,0.937500,18760,16.00
23631.000,0.943750,18883,17.78
23823.000,0.950000,19000,20.00
24127.000,0.956250,19130,22.86
24479.000,0.962500,19251,26.67
24815.000,0.968750,19386,32.00
24927.000,0.971875,19438,35.56
25087.000,0.975000,19504,40.00
25215.000,0.978125,19567,45.71
25391.000,0.981250,19627,53.33
25551.000,0.984375,19688,64.00
25695.000,0.985938,19722,71.11
25839.000,0.987500,19752,80.00
26047.000,0.989062,19785,91.43
26383.000,0.990625,19813,106.67
26863.000,0.992188,19844,128.00
27279.000,0.992969,19860,142.22
27839.000,0.993750,19875,160.00
28735.000,0.994531,19891,182.86
29551.000,0.995313,19907,213.33
31903.000,0.996094,19922,256.00
32767.000,0.996484,19930,284.44
34239.000,0.996875,19939,320.00
34815.000,0.997266,19946,365.71
36415.000,0.997656,19954,426.67
39263.000,0.998047,19961,512.00
40031.000,0.998242,19965,568.89
41887.000,0.998437,19969,640.00
45247.000,0.998633,19973,731.43
50495.000,0.998828,19977,853.33
51039.000,0.999023,19981,1024.00
51647.000,0.999121,19983,1137.78
52159.000,0.999219,19985,1280.00
52287.000,0.999316,19987,1462.86
52383.000,0.999414,19989,1706.67
53119.000,0.999512,19991,2048.00
53151.000,0.999561,19993,2275.56
53151.000,0.999609,19993,2560.00
53471.000,0.999658,19994,2925.71
54111.000,0.999707,19995,3413.33
54783.000,0.999756,19996,4096.00
54783.000,0.999780,19996,4551.11
55743.000,0.999805,19997,5120.00
55743.000,0.999829,19997,5851.43
57855.000,0.999854,19998,6826.67
57855.000,0.999878,19998,8192.00
57855.000,0.999890,19998,9102.22
59231.000,0.999902,19999,10240.00
59231.000,0.999915,19999,11702.86
59231.000,0.999927,19999,13653.33
59231.000,0.999939,19999,16384.00
59231.000,0.999945,19999,18204.44
66687.000,0.999951,20000,20480.00
66687.000,1.000000,20000,inf
