Value,Percentile,TotalCount,1/(1-Percentile)
251263.000,0.000000,1,1.00
261631.000,0.100000,2030,1.11
263679.000,0.200000,4037,1.25
265215.000,0.300000,6096,1.43
266751.000,0.400000,8183,1.67
268287.000,0.500000,10073,2.00
269311.000,0.550000,11165,2.22
270335.000,0.600000,12039,2.50
272127.000,0.650000,13108,2.86
274687.000,0.700000,14008,3.33
278015.000,0.750000,15036,4.00
279295.000,0.775000,15560,4.44
280319.000,0.800000,16038,5.00
281343.000,0.825000,16536,5.71
282367.000,0.850000,17055,6.67
283391.000,0.875000,17550,8.00
283903.000,0.887500,17786,8.89
284415.000,0.900000,18030,10.00
285183.000,0.912500,18304,11.43
285951.000,0.925000,18570,13.33
286719.000,0.937500,18817,16.00
286975.000,0.943750,18893,17.78
287487.000,0.950000,19034,20.00
287999.000,0.956250,19146,22.86
288511.000,0.962500,19251,26.67
289279.000,0.968750,19401,32.00
289791.000,0.971875,19468,35.56
290047.000,0.975000,19504,40.00
290559.000,0.978125,19568,45.71
291327.000,0.981250,19639,53.33
291839.000,0.984375,19691,64.00
292351.000,0.985938,19724,71.11
292863.000,0.987500,19761,80.00
293375.000,0.989062,19793,91.43
294143.000,0.990625,19827,106.67
294655.000,0.992188,19851,128.00
294911.000,0.992969,19867,142.22
295167.000,0.993750,19876,160.00
295679.000,0.994531,19891,182.86
296191.000,0.995313,19908,213.33
296959.000,0.996094,19926,256.00
297215.000,0.996484,19934,284.44
297727.000,0.996875,19940,320.00
298495.000,0.997266,19949,365.71
299007.000,0.997656,19956,426.67
299519.000,0.998047,19964,512.00
299775.000,0.998242,19965,568.89
300543.000,0.998437,19970,640.00
301055.000,0.998633,19975,731.43
301311.000,0.998828,19978,853.33
301823.000,0.999023,19982,1024.00
302079.000,0.999121,19984,1137.78
302335.000,0.999219,19986,1280.00
303103.000,0.999316,19987,1462.86
304127.000,0.999414,19989,1706.67
305919.000,0.999512,19991,2048.00
306687.000,0.999561,19993,2275.56
306687.000,0.999609,19993,2560.00
307967.000,0.999658,19994,2925.71
309503.000,0.999707,19995,3413.33
311551.000,0.999756,19997,4096.00
311551.000,0.999780,19997,4551.11
311551.000,0.999805,19997,5120.00
311551.000,0.999829,19997,5851.43
312319.000,0.999854,19998,6826.67
312319.000,0.999878,19998,8192.00
312319.000,0.999890,19998,9102.22
316415.000,0.999902,19999,10240.00
316415.000,0.999915,19999,11702.86
316415.000,0.999927,19999,13653.33
316415.000,0.999939,19999,16384.00
316415.000,0.999945,19999,18204.44
327167.000,0.999951,20000,20480.00
327167.000,1.000000,20000,inf
