Value,Percentile,TotalCount,1/(1-Percentile)
21423.000,0.000000,1,1.00
22271.000,0.100000,2066,1.11
22479.000,0.200000,4074,1.25
22655.000,0.300000,6151,1.43
22831.000,0.400000,8190,1.67
23023.000,0.500000,10099,2.00
23135.000,0.550000,11036,2.22
23279.000,0.600000,12011,2.50
23471.000,0.650000,13036,2.86
23695.000,0.700000,14040,3.33
23967.000,0.750000,15004,4.00
24159.000,0.775000,15526,4.44
24383.000,0.800000,16001,5.00
24751.000,0.825000,16518,5.71
25343.000,0.850000,17005,6.67
26207.000,0.875000,17505,8.00
26671.000,0.887500,17757,8.89
27199.000,0.900000,18001,10.00
27839.000,0.912500,18250,11.43
28559.000,0.925000,18504,13.33
29439.000,0.937500,18754,16.00
29919.000,0.943750,18879,17.78
30431.000,0.950000,19002,20.00
30911.000,0.956250,19130,22.86
31583.000,0.962500,19253,26.67
32415.000,0.968750,19376,32.00
32831.000,0.971875,19439,35.56
33407.000,0.975000,19501,40.00
34111.000,0.978125,19568,45.71
34655.000,0.981250,19625,53.33
35263.000,0.984375,19694,64.00
35615.000,0.985938,19720,71.11
36063.000,0.987500,19753,80.00
36415.000,0.989062,19783,91.43
36863.000,0.990625,19813,106.67
37439.000,0.992188,19845,128.00
37727.000,0.992969,19861,142.22
38047.000,0.993750,19876,160.00
38591.000,0.994531,19891,182.86
39071.000,0.995313,19907,213.33
39871.000,0.996094,19922,256.00
40287.000,0.996484,19930,284.44
40671.000,0.996875,19938,320.00
41343.000,0.997266,19946,365.71
41823.000,0.997656,19954,426.67
42559.000,0.998047,19961,512.00
43007.000,0.998242,19965,568.89
43295.000,0.998437,19969,640.00
43871.000,0.998633,19973,731.43
44255.000,0.998828,19977,853.33
44767.000,0.999023,19981,1024.00
45375.000,0.999121,19984,1137.78
45439.000,0.999219,19985,1280.00
45887.000,0.999316,19987,1462.86
46463.000,0.999414,19989,1706.67
46815.000,0.999512,19991,2048.00
46943.000,0.999561,19992,2275.56
47039.000,0.999609,19993,2560.00
47327.000,0.999658,19994,2925.71
48095.000,0.999707,19995,3413.33
48895.000,0.999756,19996,4096.00
48895.000,0.999780,19996,4551.11
49439.000,0.999805,19997,5120.00
49439.000,0.999829,19997,5851.43
49471.000,0.999854,19998,6826.67
49471.000,0.999878,19998,8192.00
49471.000,0.999890,19998,9102.22
49663.000,0.999902,19999,10240.00
49663.000,0.999915,19999,11702.86
49663.000,0.999927,19999,13653.33
49663.000,0.999939,19999,16384.00
49663.000,0.999945,19999,18204.44
53951.000,0.999951,20000,20480.00
53951.000,1.000000,20000,inf
