Value,Percentile,TotalCount,1/(1-Percentile)
12103.000,0.000000,1,1.00
12543.000,0.100000,2027,1.11
12703.000,0.200000,4039,1.25
12879.000,0.300000,6105,1.43
13047.000,0.400000,8073,1.67
13239.000,0.500000,10067,2.00
13359.000,0.550000,11018,2.22
13511.000,0.600000,12036,2.50
13687.000,0.650000,13019,2.86
13927.000,0.700000,14022,3.33
14303.000,0.750000,15007,4.00
14607.000,0.775000,15510,4.44
14967.000,0.800000,16004,5.00
15455.000,0.825000,16500,5.71
15991.000,0.850000,17003,6.67
16591.000,0.875000,17503,8.00
17023.000,0.887500,17750,8.89
17535.000,0.900000,18003,10.00
18111.000,0.912500,18257,11.43
18895.000,0.925000,18501,13.33
19887.000,0.937500,18752,16.00
20559.000,0.943750,18879,17.78
21087.000,0.950000,19004,20.00
21599.000,0.956250,19125,22.86
22271.000,0.962500,19254,26.67
22879.000,0.968750,19377,32.00
23151.000,0.971875,19438,35.56
23471.000,0.975000,19504,40.00
23759.000,0.978125,19568,45.71
24095.000,0.981250,19627,53.33
24543.000,0.984375,19688,64.00
24863.000,0.985938,19719,71.11
25167.000,0.987500,19750,80.00
25535.000,0.989062,19782,91.43
25983.000,0.990625,19814,106.67
26591.000,0.992188,19844,128.00
27231.000,0.992969,19860,142.22
27823.000,0.993750,19875,160.00
30191.000,0.994531,19891,182.86
41855.000,0.995313,19907,213.33
177791.000,0.996094,19922,256.00
192383.000,0.996484,19930,284.44
219775.000,0.996875,19939,320.00
221183.000,0.997266,19946,365.71
235135.000,0.997656,19954,426.67
247423.000,0.998047,19961,512.00
283903.000,0.998242,19965,568.89
291583.000,0.998437,19969,640.00
328191.000,0.998633,19973,731.43
347391.000,0.998828,19977,853.33
434943.000,0.999023,19982,1024.00
439295.000,0.999121,19983,1137.78
445951.000,0.999219,19985,1280.00
459519.000,0.999316,19987,1462.86
465919.000,0.999414,19989,1706.67
505599.000,0.999512,19991,2048.00
543231.000,0.999561,19992,2275.56
567295.000,0.999609,19993,2560.00
582143.000,0.999658,19994,2925.71
625151.000,0.999707,19995,3413.33
645631.000,0.999756,19996,4096.00
645631.000,0.999780,19996,4551.11
675327.000,0.999805,19997,5120.00
675327.000,0.999829,19997,5851.43
730111.000,0.999854,19998,6826.67
730111.000,0.999878,19998,8192.00
730111.000,0.999890,19998,9102.22
805887.000,0.999902,19999,10240.00
805887.000,0.999915,19999,11702.86
805887.000,0.999927,19999,13653.33
805887.000,0.999939,19999,16384.00
805887.000,0.999945,19999,18204.44
1098751.000,0.999951,20000,20480.00
1098751.000,1.000000,20000,inf
