Value,Percentile,TotalCount,1/(1-Percentile)
28399.000,0.000000,1,1.00
29215.000,0.100000,2031,1.11
29423.000,0.200000,4098,1.25
29599.000,0.300000,6152,1.43
29743.000,0.400000,8102,1.67
29887.000,0.500000,10022,2.00
29967.000,0.550000,11068,2.22
30063.000,0.600000,12132,2.50
30175.000,0.650000,13055,2.86
30319.000,0.700000,14060,3.33
30527.000,0.750000,15048,4.00
30655.000,0.775000,15551,4.44
30831.000,0.800000,16018,5.00
31135.000,0.825000,16511,5.71
31567.000,0.850000,17011,6.67
32239.000,0.875000,17508,8.00
32575.000,0.887500,17758,8.89
32863.000,0.900000,18006,10.00
33183.000,0.912500,18274,11.43
33535.000,0.925000,18518,13.33
34143.000,0.937500,18761,16.00
34591.000,0.943750,18877,17.78
35327.000,0.950000,19007,20.00
36447.000,0.956250,19128,22.86
38367.000,0.962500,19250,26.67
41407.000,0.968750,19375,32.00
42975.000,0.971875,19440,35.56
44735.000,0.975000,19500,40.00
45791.000,0.978125,19563,45.71
47135.000,0.981250,19626,53.33
48895.000,0.984375,19688,64.00
50399.000,0.985938,19720,71.11
52159.000,0.987500,19750,80.00
55711.000,0.989062,19782,91.43
190847.000,0.990625,19813,106.67
197759.000,0.992188,19844,128.00
237951.000,0.992969,19860,142.22
248575.000,0.993750,19875,160.00
293887.000,0.994531,19892,182.86
336639.000,0.995313,19907,213.33
346623.000,0.996094,19922,256.00
348159.000,0.996484,19930,284.44
353791.000,0.996875,19938,320.00
400895.000,0.997266,19946,365.71
409087.000,0.997656,19954,426.67
417535.000,0.998047,19961,512.00
455167.000,0.998242,19965,568.89
459007.000,0.998437,19969,640.00
481791.000,0.998633,19973,731.43
488703.000,0.998828,19977,853.33
522495.000,0.999023,19981,1024.00
523775.000,0.999121,19984,1137.78
524031.000,0.999219,19985,1280.00
526847.000,0.999316,19987,1462.86
529919.000,0.999414,19989,1706.67
532479.000,0.999512,19991,2048.00
534015.000,0.999561,19992,2275.56
544767.000,0.999609,19993,2560.00
567295.000,0.999658,19994,2925.71
573439.000,0.999707,19995,3413.33
576511.000,0.999756,19996,4096.00
576511.000,0.999780,19996,4551.11
589311.000,0.999805,19997,5120.00
589311.000,0.999829,19997,5851.43
628735.000,0.999854,19998,6826.67
628735.000,0.999878,19998,8192.00
628735.000,0.999890,19998,9102.22
652287.000,0.999902,19999,10240.00
652287.000,0.999915,19999,11702.86
652287.000,0.999927,19999,13653.33
652287.000,0.999939,19999,16384.00
652287.000,0.999945,19999,18204.44
675327.000,0.999951,20000,20480.00
675327.000,1.000000,20000,inf
