Value,Percentile,TotalCount,1/(1-Percentile)
365311.000,0.000000,1,1.00
381951.000,0.100000,2012,1.11
385535.000,0.200000,4049,1.25
388863.000,0.300000,6122,1.43
391935.000,0.400000,8042,1.67
394751.000,0.500000,10019,2.00
396031.000,0.550000,11086,2.22
397311.000,0.600000,12196,2.50
398335.000,0.650000,13140,2.86
399359.000,0.700000,14037,3.33
400639.000,0.750000,15130,4.00
401151.000,0.775000,15550,4.44
401919.000,0.800000,16114,5.00
402687.000,0.825000,16581,5.71
403455.000,0.850000,17036,6.67
404735.000,0.875000,17595,8.00
405247.000,0.887500,17801,8.89
406015.000,0.900000,18067,10.00
406783.000,0.912500,18262,11.43
408063.000,0.925000,18534,13.33
409855.000,0.937500,18766,16.00
411135.000,0.943750,18876,17.78
412927.000,0.950000,19008,20.00
415231.000,0.956250,19136,22.86
417791.000,0.962500,19260,26.67
420351.000,0.968750,19381,32.00
421631.000,0.971875,19450,35.56
422911.000,0.975000,19513,40.00
423935.000,0.978125,19574,45.71
424959.000,0.981250,19625,53.33
426239.000,0.984375,19690,64.00
427007.000,0.985938,19725,71.11
427775.000,0.987500,19755,80.00
428543.000,0.989062,19787,91.43
429311.000,0.990625,19816,106.67
430591.000,0.992188,19854,128.00
431103.000,0.992969,19865,142.22
431871.000,0.993750,19883,160.00
432383.000,0.994531,19896,182.86
433151.000,0.995313,19914,213.33
433663.000,0.996094,19922,256.00
434175.000,0.996484,19930,284.44
434687.000,0.996875,19938,320.00
434943.000,0.997266,19946,365.71
435455.000,0.997656,19956,426.67
436735.000,0.998047,19963,512.00
437247.000,0.998242,19967,568.89
437759.000,0.998437,19972,640.00
438271.000,0.998633,19973,731.43
439295.000,0.998828,19977,853.33
440575.000,0.999023,19981,1024.00
442111.000,0.999121,19983,1137.78
443903.000,0.999219,19985,1280.00
444671.000,0.999316,19987,1462.86
447231.000,0.999414,19989,1706.67
453375.000,0.999512,19991,2048.00
456191.000,0.999561,19992,2275.56
456447.000,0.999609,19994,2560.00
456447.000,0.999658,19994,2925.71
457727.000,0.999707,19995,3413.33
460031.000,0.999756,19996,4096.00
460031.000,0.999780,19996,4551.11
461567.000,0.999805,19997,5120.00
461567.000,0.999829,19997,5851.43
464383.000,0.999854,19998,6826.67
464383.000,0.999878,19998,8192.00
464383.000,0.999890,19998,9102.22
468735.000,0.999902,19999,10240.00
468735.000,0.999915,19999,11702.86
468735.000,0.999927,19999,13653.33
468735.000,0.999939,19999,16384.00
468735.000,0.999945,19999,18204.44
474623.000,0.999951,20000,20480.00
474623.000,1.000000,20000,inf
