Value,Percentile,TotalCount,1/(1-Percentile)
9871.000,0.000000,2,1.00
10271.000,0.100000,2135,1.11
10351.000,0.200000,4186,1.25
10415.000,0.300000,6073,1.43
10487.000,0.400000,8195,1.67
10551.000,0.500000,10005,2.00
10599.000,0.550000,11170,2.22
10647.000,0.600000,12141,2.50
10695.000,0.650000,13018,2.86
10759.000,0.700000,14001,3.33
10831.000,0.750000,15002,4.00
10871.000,0.775000,15518,4.44
10919.000,0.800000,16073,5.00
10967.000,0.825000,16551,5.71
11023.000,0.850000,17027,6.67
11087.000,0.875000,17501,8.00
11127.000,0.887500,17771,8.89
11175.000,0.900000,18008,10.00
11231.000,0.912500,18257,11.43
11311.000,0.925000,18520,13.33
11407.000,0.937500,18756,16.00
11479.000,0.943750,18886,17.78
11551.000,0.950000,19002,20.00
11647.000,0.956250,19129,22.86
11775.000,0.962500,19252,26.67
11935.000,0.968750,19375,32.00
12039.000,0.971875,19442,35.56
12167.000,0.975000,19500,40.00
12343.000,0.978125,19563,45.71
12519.000,0.981250,19625,53.33
12943.000,0.984375,19688,64.00
13255.000,0.985938,19719,71.11
13679.000,0.987500,19751,80.00
14031.000,0.989062,19782,91.43
14615.000,0.990625,19813,106.67
15335.000,0.992188,19844,128.00
15807.000,0.992969,19861,142.22
16103.000,0.993750,19875,160.00
16543.000,0.994531,19891,182.86
16879.000,0.995313,19907,213.33
17279.000,0.996094,19922,256.00
17423.000,0.996484,19931,284.44
17551.000,0.996875,19939,320.00
17583.000,0.997266,19946,365.71
17855.000,0.997656,19954,426.67
18143.000,0.998047,19961,512.00
18303.000,0.998242,19965,568.89
18511.000,0.998437,19969,640.00
18639.000,0.998633,19973,731.43
18831.000,0.998828,19977,853.33
19231.000,0.999023,19981,1024.00
19743.000,0.999121,19983,1137.78
26031.000,0.999219,19985,1280.00
27919.000,0.999316,19987,1462.86
28751.000,0.999414,19989,1706.67
32719.000,0.999512,19991,2048.00
32991.000,0.999561,19993,2275.56
32991.000,0.999609,19993,2560.00
34623.000,0.999658,19994,2925.71
35071.000,0.999707,19995,3413.33
35583.000,0.999756,19996,4096.00
35583.000,0.999780,19996,4551.11
36255.000,0.999805,19997,5120.00
36255.000,0.999829,19997,5851.43
38719.000,0.999854,19998,6826.67
38719.000,0.999878,19998,8192.00
38719.000,0.999890,19998,9102.22
38879.000,0.999902,19999,10240.00
38879.000,0.999915,19999,11702.86
38879.000,0.999927,19999,13653.33
38879.000,0.999939,19999,16384.00
38879.000,0.999945,19999,18204.44
45695.000,0.999951,20000,20480.00
45695.000,1.000000,20000,inf
