Value,Percentile,TotalCount,1/(1-Percentile)
9007.000,0.000000,1,1.00
10071.000,0.100000,2097,1.11
10159.000,0.200000,4278,1.25
10207.000,0.300000,6275,1.43
10255.000,0.400000,8087,1.67
10327.000,0.500000,10187,2.00
10367.000,0.550000,11037,2.22
10423.000,0.600000,12055,2.50
10479.000,0.650000,13062,2.86
10543.000,0.700000,14079,3.33
10623.000,0.750000,15090,4.00
10663.000,0.775000,15567,4.44
10703.000,0.800000,16005,5.00
10743.000,0.825000,16503,5.71
10799.000,0.850000,17047,6.67
10863.000,0.875000,17515,8.00
10911.000,0.887500,17783,8.89
10959.000,0.900000,18012,10.00
11015.000,0.912500,18258,11.43
11095.000,0.925000,18504,13.33
11223.000,0.937500,18758,16.00
11319.000,0.943750,18876,17.78
11471.000,0.950000,19003,20.00
11655.000,0.956250,19125,22.86
11999.000,0.962500,19250,26.67
12615.000,0.968750,19377,32.00
12959.000,0.971875,19443,35.56
13191.000,0.975000,19505,40.00
13423.000,0.978125,19568,45.71
13567.000,0.981250,19625,53.33
13767.000,0.984375,19691,64.00
13839.000,0.985938,19721,71.11
13943.000,0.987500,19750,80.00
14071.000,0.989062,19782,91.43
14295.000,0.990625,19813,106.67
14623.000,0.992188,19844,128.00
14967.000,0.992969,19860,142.22
15903.000,0.993750,19875,160.00
21407.000,0.994531,19891,182.86
30719.000,0.995313,19907,213.33
176383.000,0.996094,19923,256.00
176767.000,0.996484,19931,284.44
180095.000,0.996875,19938,320.00
186239.000,0.997266,19946,365.71
229503.000,0.997656,19956,426.67
229887.000,0.998047,19962,512.00
230399.000,0.998242,19965,568.89
266239.000,0.998437,19969,640.00
266751.000,0.998633,19975,731.43
267775.000,0.998828,19977,853.33
294655.000,0.999023,19981,1024.00
295423.000,0.999121,19983,1137.78
295935.000,0.999219,19985,1280.00
321791.000,0.999316,19988,1462.86
322303.000,0.999414,19989,1706.67
334591.000,0.999512,19991,2048.00
358911.000,0.999561,19992,2275.56
435199.000,0.999609,19993,2560.00
435967.000,0.999658,19994,2925.71
436223.000,0.999707,19995,3413.33
439039.000,0.999756,19996,4096.00
439039.000,0.999780,19996,4551.11
439295.000,0.999805,19997,5120.00
439295.000,0.999829,19997,5851.43
440319.000,0.999854,19998,6826.67
440319.000,0.999878,19998,8192.00
440319.000,0.999890,19998,9102.22
441087.000,0.999902,19999,10240.00
441087.000,0.999915,19999,11702.86
441087.000,0.999927,19999,13653.33
441087.000,0.999939,19999,16384.00
441087.000,0.999945,19999,18204.44
441343.000,0.999951,20000,20480.00
441343.000,1.000000,20000,inf
