Value,Percentile,TotalCount,1/(1-Percentile)
29759.000,0.000000,1,1.00
43871.000,0.100000,2184,1.11
44063.000,0.200000,4219,1.25
44255.000,0.300000,6316,1.43
44415.000,0.400000,8284,1.67
44575.000,0.500000,10075,2.00
44703.000,0.550000,11101,2.22
44863.000,0.600000,12010,2.50
45087.000,0.650000,13054,2.86
45375.000,0.700000,14026,3.33
45759.000,0.750000,15008,4.00
45983.000,0.775000,15508,4.44
46271.000,0.800000,16040,5.00
46591.000,0.825000,16520,5.71
47039.000,0.850000,17025,6.67
47583.000,0.875000,17509,8.00
47903.000,0.887500,17772,8.89
48255.000,0.900000,18004,10.00
48767.000,0.912500,18250,11.43
49567.000,0.925000,18504,13.33
50719.000,0.937500,18753,16.00
51743.000,0.943750,18877,17.78
52991.000,0.950000,19001,20.00
54719.000,0.956250,19125,22.86
57535.000,0.962500,19250,26.67
60959.000,0.968750,19375,32.00
62303.000,0.971875,19440,35.56
64319.000,0.975000,19500,40.00
67135.000,0.978125,19563,45.71
71487.000,0.981250,19625,53.33
203263.000,0.984375,19689,64.00
210175.000,0.985938,19721,71.11
212223.000,0.987500,19751,80.00
225919.000,0.989062,19782,91.43
264447.000,0.990625,19813,106.67
296703.000,0.992188,19845,128.00
326911.000,0.992969,19860,142.22
364799.000,0.993750,19875,160.00
367615.000,0.994531,19891,182.86
417535.000,0.995313,19909,213.33
442367.000,0.996094,19922,256.00
449279.000,0.996484,19930,284.44
460799.000,0.996875,19938,320.00
476159.000,0.997266,19949,365.71
476927.000,0.997656,19954,426.67
480767.000,0.998047,19961,512.00
484607.000,0.998242,19965,568.89
511487.000,0.998437,19969,640.00
542719.000,0.998633,19975,731.43
545279.000,0.998828,19977,853.33
609791.000,0.999023,19981,1024.00
612863.000,0.999121,19983,1137.78
615935.000,0.999219,19985,1280.00
616959.000,0.999316,19987,1462.86
631295.000,0.999414,19989,1706.67
641023.000,0.999512,19991,2048.00
647679.000,0.999561,19992,2275.56
655871.000,0.999609,19993,2560.00
668159.000,0.999658,19994,2925.71
671743.000,0.999707,19996,3413.33
671743.000,0.999756,19996,4096.00
671743.000,0.999780,19996,4551.11
672255.000,0.999805,19997,5120.00
672255.000,0.999829,19997,5851.43
679423.000,0.999854,19999,6826.67
679423.000,0.999878,19999,8192.00
679423.000,0.999890,19999,9102.22
679423.000,0.999902,19999,10240.00
679423.000,0.999915,19999,11702.86
679423.000,0.999927,19999,13653.33
679423.000,0.999939,19999,16384.00
679423.000,0.999945,19999,18204.44
714751.000,0.999951,20000,20480.00
714751.000,1.000000,20000,inf
