Value,Percentile,TotalCount,1/(1-Percentile)
399871.000,0.000000,1,1.00
422911.000,0.100000,2038,1.11
430591.000,0.200000,4058,1.25
439807.000,0.300000,6022,1.43
454655.000,0.400000,8031,1.67
459263.000,0.500000,10115,2.00
461055.000,0.550000,11150,2.22
462591.000,0.600000,12053,2.50
464383.000,0.650000,13014,2.86
466687.000,0.700000,14064,3.33
469503.000,0.750000,15045,4.00
471295.000,0.775000,15545,4.44
473087.000,0.800000,16019,5.00
474879.000,0.825000,16507,5.71
477183.000,0.850000,17054,6.67
479487.000,0.875000,17519,8.00
480767.000,0.887500,17775,8.89
482303.000,0.900000,18026,10.00
484095.000,0.912500,18279,11.43
486143.000,0.925000,18521,13.33
488959.000,0.937500,18754,16.00
490751.000,0.943750,18875,17.78
492799.000,0.950000,19006,20.00
495359.000,0.956250,19139,22.86
497919.000,0.962500,19252,26.67
502015.000,0.968750,19377,32.00
504575.000,0.971875,19438,35.56
507903.000,0.975000,19503,40.00
513023.000,0.978125,19566,45.71
518399.000,0.981250,19625,53.33
526847.000,0.984375,19689,64.00
531967.000,0.985938,19719,71.11
538111.000,0.987500,19751,80.00
546303.000,0.989062,19783,91.43
552959.000,0.990625,19816,106.67
560127.000,0.992188,19844,128.00
564735.000,0.992969,19860,142.22
569855.000,0.993750,19876,160.00
578559.000,0.994531,19892,182.86
585215.000,0.995313,19907,213.33
595455.000,0.996094,19922,256.00
604671.000,0.996484,19930,284.44
612351.000,0.996875,19939,320.00
620543.000,0.997266,19946,365.71
642047.000,0.997656,19955,426.67
666111.000,0.998047,19961,512.00
673279.000,0.998242,19965,568.89
686079.000,0.998437,19969,640.00
691199.000,0.998633,19973,731.43
724479.000,0.998828,19977,853.33
750079.000,0.999023,19981,1024.00
769023.000,0.999121,19983,1137.78
781823.000,0.999219,19985,1280.00
809471.000,0.999316,19987,1462.86
876543.000,0.999414,19989,1706.67
884223.000,0.999512,19991,2048.00
891391.000,0.999561,19992,2275.56
893439.000,0.999609,19993,2560.00
894975.000,0.999658,19994,2925.71
899071.000,0.999707,19995,3413.33
903167.000,0.999756,19996,4096.00
903167.000,0.999780,19996,4551.11
1004031.000,0.999805,19997,5120.00
1004031.000,0.999829,19997,5851.43
1233919.000,0.999854,19998,6826.67
1233919.000,0.999878,19998,8192.00
1233919.000,0.999890,19998,9102.22
1399807.000,0.999902,19999,10240.00
1399807.000,0.999915,19999,11702.86
1399807.000,0.999927,19999,13653.33
1399807.000,0.999939,19999,16384.00
1399807.000,0.999945,19999,18204.44
2040831.000,0.999951,20000,20480.00
2040831.000,1.000000,20000,inf
