Value,Percentile,TotalCount,1/(1-Percentile)
88511.000,0.000000,2,1.00
89983.000,0.100000,2200,1.11
90303.000,0.200000,4084,1.25
90623.000,0.300000,6385,1.43
90879.000,0.400000,8314,1.67
91135.000,0.500000,10009,2.00
91327.000,0.550000,11238,2.22
91519.000,0.600000,12209,2.50
91711.000,0.650000,13092,2.86
91967.000,0.700000,14030,3.33
92351.000,0.750000,15115,4.00
92543.000,0.775000,15529,4.44
92863.000,0.800000,16057,5.00
93247.000,0.825000,16523,5.71
93823.000,0.850000,17031,6.67
94847.000,0.875000,17504,8.00
95743.000,0.887500,17755,8.89
96767.000,0.900000,18009,10.00
97407.000,0.912500,18254,11.43
97983.000,0.925000,18512,13.33
98559.000,0.937500,18776,16.00
98815.000,0.943750,18886,17.78
99071.000,0.950000,19000,20.00
99519.000,0.956250,19144,22.86
99903.000,0.962500,19263,26.67
100415.000,0.968750,19381,32.00
100735.000,0.971875,19439,35.56
101183.000,0.975000,19503,40.00
101759.000,0.978125,19566,45.71
102719.000,0.981250,19625,53.33
103615.000,0.984375,19689,64.00
104447.000,0.985938,19719,71.11
105279.000,0.987500,19750,80.00
106367.000,0.989062,19784,91.43
107519.000,0.990625,19813,106.67
108991.000,0.992188,19845,128.00
110143.000,0.992969,19861,142.22
111359.000,0.993750,19875,160.00
112959.000,0.994531,19891,182.86
115007.000,0.995313,19907,213.33
117247.000,0.996094,19922,256.00
118335.000,0.996484,19930,284.44
120255.000,0.996875,19939,320.00
121215.000,0.997266,19946,365.71
122879.000,0.997656,19954,426.67
124159.000,0.998047,19961,512.00
125311.000,0.998242,19965,568.89
125951.000,0.998437,19969,640.00
128319.000,0.998633,19973,731.43
129151.000,0.998828,19977,853.33
132351.000,0.999023,19981,1024.00
134143.000,0.999121,19983,1137.78
134783.000,0.999219,19985,1280.00
137087.000,0.999316,19987,1462.86
139775.000,0.999414,19989,1706.67
140927.000,0.999512,19991,2048.00
145023.000,0.999561,19992,2275.56
145151.000,0.999609,19993,2560.00
145407.000,0.999658,19995,2925.71
145407.000,0.999707,19995,3413.33
148095.000,0.999756,19996,4096.00
148095.000,0.999780,19996,4551.11
150271.000,0.999805,19997,5120.00
150271.000,0.999829,19997,5851.43
154879.000,0.999854,19998,6826.67
154879.000,0.999878,19998,8192.00
154879.000,0.999890,19998,9102.22
164351.000,0.999902,19999,10240.00
164351.000,0.999915,19999,11702.86
164351.000,0.999927,19999,13653.33
164351.000,0.999939,19999,16384.00
164351.000,0.999945,19999,18204.44
196095.000,0.999951,20000,20480.00
196095.000,1.000000,20000,inf
