Value,Percentile,TotalCount,1/(1-Percentile)
19407.000,0.000000,1,1.00
19935.000,0.100000,2124,1.11
20031.000,0.200000,4071,1.25
20111.000,0.300000,6187,1.43
20175.000,0.400000,8076,1.67
20255.000,0.500000,10348,2.00
20287.000,0.550000,11187,2.22
20319.000,0.600000,12005,2.50
20367.000,0.650000,13163,2.86
20415.000,0.700000,14178,3.33
20479.000,0.750000,15160,4.00
20511.000,0.775000,15589,4.44
20559.000,0.800000,16078,5.00
20623.000,0.825000,16538,5.71
20719.000,0.850000,17000,6.67
20975.000,0.875000,17502,8.00
21311.000,0.887500,17758,8.89
21919.000,0.900000,18002,10.00
22255.000,0.912500,18276,11.43
22415.000,0.925000,18502,13.33
22655.000,0.937500,18753,16.00
22831.000,0.943750,18875,17.78
23119.000,0.950000,19001,20.00
23487.000,0.956250,19130,22.86
23743.000,0.962500,19252,26.67
24047.000,0.968750,19377,32.00
24239.000,0.971875,19440,35.56
24463.000,0.975000,19500,40.00
24735.000,0.978125,19563,45.71
25167.000,0.981250,19629,53.33
25839.000,0.984375,19688,64.00
26239.000,0.985938,19720,71.11
26783.000,0.987500,19750,80.00
27551.000,0.989062,19782,91.43
29503.000,0.990625,19813,106.67
31199.000,0.992188,19844,128.00
33055.000,0.992969,19860,142.22
35551.000,0.993750,19875,160.00
40543.000,0.994531,19891,182.86
43135.000,0.995313,19907,213.33
44031.000,0.996094,19922,256.00
44351.000,0.996484,19930,284.44
44895.000,0.996875,19938,320.00
45631.000,0.997266,19946,365.71
46271.000,0.997656,19954,426.67
47711.000,0.998047,19961,512.00
48447.000,0.998242,19965,568.89
49279.000,0.998437,19969,640.00
50751.000,0.998633,19973,731.43
79231.000,0.998828,19977,853.33
80639.000,0.999023,19981,1024.00
81663.000,0.999121,19983,1137.78
81855.000,0.999219,19985,1280.00
82175.000,0.999316,19987,1462.86
83007.000,0.999414,19989,1706.67
83519.000,0.999512,19991,2048.00
83711.000,0.999561,19992,2275.56
84095.000,0.999609,19993,2560.00
84351.000,0.999658,19994,2925.71
84927.000,0.999707,19995,3413.33
84991.000,0.999756,19997,4096.00
84991.000,0.999780,19997,4551.11
84991.000,0.999805,19997,5120.00
84991.000,0.999829,19997,5851.43
85631.000,0.999854,19998,6826.67
85631.000,0.999878,19998,8192.00
85631.000,0.999890,19998,9102.22
93183.000,0.999902,19999,10240.00
93183.000,0.999915,19999,11702.86
93183.000,0.999927,19999,13653.33
93183.000,0.999939,19999,16384.00
93183.000,0.999945,19999,18204.44
106687.000,0.999951,20000,20480.00
106687.000,1.000000,20000,inf
